NODE TIMES:	nid	time
	1	227.958
	2	227.958
	3	227.958
	4	227.958
	5	227.958
	6	227.958
	7	227.958
	8	227.958
	9	227.958
	10	227.958
	11	0
	12	0
	13	171.04
	14	115.413
	15	38.4064
	16	38.3131
	17	26.0544
	18	14.1942
	19	11.7709
	20	1.03098
	21	0.202118

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 13) 	1 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 17) 	9 (17 -> 16) 	7 (16 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 15) 	5 (15 -> 14) 	3 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 15) 	6 (15 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 17) 	10 (17 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 17) 	9 (17 -> 16) 	8 (16 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 13) 	2 (13 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 15) 	5 (15 -> 14) 	4 (14 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	25	19	20	23	0
	eid	type	time
	16	del	0.00460748	1.81429
	16	crl	0.00522976	1.92008
	16	dup	0.0330962	6.65762
	16	dup	0.0372495	7.36371
	16	dup	0.0394227	7.73317
	16	crl	0.0475531	9.11542
	16	dup	0.0508039	9.66807
	16	crg	0.0734929	13.5254
	16	crl	0.0768418	14.0947
	16	del	0.0903867	16.3975
	16	crg	0.0930796	16.8553
	16	crg	0.104423	18.7839
	16	crg	0.117977	21.088
	16	crg	0.136437	24.2264
	16	del	0.175193	30.8152
	16	crg	0.180777	31.7646
	16	del	0.182376	32.0365
	16	crl	0.183624	32.2486
	16	crg	0.199926	35.02
	16	del	0.226455	39.5302
	16	del	0.232395	40.5402
	16	dup	0.242464	42.252
	16	crg	0.243858	42.4889
	16	dup	0.246672	42.9674
	16	del	0.25547	44.463
	16	del	0.272034	47.279
	16	dup	0.273089	47.4585
	16	crg	0.345063	59.6947
	16	dup	0.376299	65.0051
	16	crl	0.411455	70.9818
	16	crg	0.412183	71.1056
	16	crg	0.460168	79.2635
	16	del	0.477434	82.1988
	16	crl	0.480956	82.7977
	16	del	0.486573	83.7525
	16	dup	0.487665	83.9381
	16	crl	0.493117	84.8651
	16	dup	0.495159	85.2123
	16	crg	0.50314	86.569
	16	crl	0.508086	87.41
	16	crg	0.522983	89.9425
	16	dup	0.525255	90.3288
	16	crl	0.527333	90.6822
	16	dup	0.550352	94.5956
	16	crl	0.611271	104.952
	16	crg	0.621967	106.771
	16	del	0.62663	107.563
	16	crl	0.646944	111.017
	16	del	0.654981	112.383
	16	del	0.664422	113.988
	16	dup	0.676431	116.03
	16	dup	0.712481	122.159
	16	crg	0.722157	123.804
	16	crg	0.725012	124.289
	16	dup	0.798711	136.819
	16	crl	0.811389	138.974
	16	crg	0.821763	140.738
	16	del	0.822331	140.834
	16	crl	0.831281	142.356
	16	crg	0.849184	145.4
	16	crg	0.851902	145.862
	16	del	0.868157	148.625
	16	dup	0.876688	150.075
	16	dup	0.904695	154.837
	16	crl	0.931049	159.317
	16	crg	0.939193	160.702
	16	del	0.940541	160.931
	16	crg	0.978198	167.333
	16	crl	0.984248	168.362
	16	dup	0.985725	168.613
	1	dup	0.00691287	171.433
	1	del	0.114677	177.567
	1	dup	0.229951	184.128
	1	crl	0.238425	184.61
	1	crl	0.247018	185.099
	1	dup	0.263119	186.016
	1	crg	0.28813	187.439
	1	crg	0.335408	190.13
	1	dup	0.437249	195.927
	1	crl	0.440307	196.101
	1	del	0.730932	212.643
	1	del	0.755395	214.036
	1	dup	0.796545	216.378
	1	crl	0.798517	216.49
	1	dup	0.806904	216.967
	1	crl	0.953815	225.329
	1	dup	0.998375	227.866

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	25	22	30	19	0
	eid	type	time
	15	crg	0.365186	4.95304
	15	dup	0.672498	8.25355
	15	crg	0.713251	8.69122
	15	crl	0.827721	9.92062
	13	dup	0.111661	12.0415
	13	crg	0.146758	12.1265
	11	dup	0.268053	17.3734
	11	del	0.386432	18.7774
	11	del	0.937736	25.3159
	9	crg	0.305435	29.7986
	9	dup	0.573091	33.0798
	9	crg	0.596988	33.3727
