NODE TIMES:	nid	time
	1	161.943
	2	161.943
	3	161.943
	4	161.943
	5	161.943
	6	161.943
	7	161.943
	8	161.943
	9	161.943
	10	161.943
	11	0
	12	0
	13	126.396
	14	61.0721
	15	24.5652
	16	23.161
	17	21.8502
	18	9.09659
	19	7.67088
	20	1.95272
	21	1.51953

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	11 (18 -> 16) 	8 (16 -> 13) 	1 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 14) 	3 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 14) 	4 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	11 (18 -> 16) 	7 (16 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	11 (18 -> 16) 	8 (16 -> 13) 	2 (13 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 15) 	5 (15 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 15) 	6 (15 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	12 (18 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	11	15	19	13	0
	eid	type	time
	19	dup	0.352773	0.536048
	16	dup	0.900917	7.10431
	16	dup	0.907798	7.14365
	13	del	0.109574	9.22457
	13	dup	0.3735	12.9669
	13	del	0.52346	15.0932
	9	dup	0.00750585	22.9017
	9	del	0.0127677	23.6389
	9	crg	0.022318	24.9768
	9	crl	0.0608274	30.3717
	9	crl	0.0809701	33.1935
	9	del	0.0912944	34.6399
	9	crg	0.13597	40.8987
	9	crg	0.167886	45.3699
	9	del	0.210461	51.3343
	9	crg	0.229898	54.0572
	9	del	0.231458	54.2759
	9	crg	0.234637	54.7212
	9	crg	0.241504	55.6832
	9	crl	0.257493	57.9232
	9	crl	0.277521	60.7289
	9	dup	0.283733	61.5992
	9	del	0.308596	65.0823
	9	del	0.320174	66.7044
	9	crl	0.339122	69.3588
	9	crg	0.353865	71.4241
	9	del	0.354966	71.5784
	9	dup	0.386961	76.0606
	9	del	0.419419	80.6078
	9	crl	0.431536	82.3054
	9	crl	0.451696	85.1296
	9	crg	0.457613	85.9585
	9	crg	0.485106	89.8102
	9	crl	0.538191	97.2469
	9	crg	0.551821	99.1563
	9	crl	0.554889	99.5862
	9	dup	0.575563	102.483
	9	crl	0.599463	105.831
	9	dup	0.65208	113.202
	9	crl	0.655557	113.689
	9	crl	0.672384	116.046
	9	del	0.685323	117.859
	9	crl	0.723994	123.277
	9	crg	0.736172	124.983
	9	del	0.769359	129.632
	9	crl	0.816264	136.203
	9	dup	0.82652	137.64
	9	del	0.864753	142.996
	9	del	0.867054	143.318
	9	crg	0.891759	146.779
	9	dup	0.893414	147.011
	9	crg	0.897139	147.533
	9	crl	0.907711	149.014
	9	crl	0.923348	151.205
	9	crl	0.947658	154.61
	9	crl	0.955114	155.655
	9	del	0.963455	156.823
	9	crl	0.968881	157.584

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	21	19	15	20	0
	eid	type	time
	19	dup	0.352773	0.536048
	15	del	0.14264	2.97172
	15	crg	0.243532	3.69248
	15	crg	0.83989	7.95278
	15	dup	0.913124	8.47596
	11	dup	0.214668	12.1158
	11	del	0.428305	15.1205
	11	crl	0.481116	15.8632
	11	crg	0.54256	16.7274
	11	dup	0.562915	17.0137
	11	dup	0.581128	17.2698
	11	dup	0.61968	17.812
	11	crg	0.805152	20.4206
	11	del	0.92302	22.0784
	11	dup	0.946727	22.4118
	8	del	0.0314454	26.4073
	8	crl	0.127245	36.2972
	8	crl	0.128003	36.3754
	8	dup	0.152966	38.9525
	8	crl	0.161029	39.7849
	8	dup	0.188595	42.6306
	8	del	0.190925	42.8712
	8	del	0.22824	46.7234
	8	crg	0.263299	50.3427
	8	crl	0.263623	50.3762
	8	del	0.26465	50.4822
	8	crg	0.327717	56.9928
	8	crg	0.349375	59.2287
	8	del	0.36922	61.2774
	8	dup	0.369748	61.332
	8	crg	0.373784	61.7487
	8	crg	0.377085	62.0894
	8	del	0.414099	65.9105
	8	crg	0.435815	68.1524
	8	crl	0.445632	69.1659
	8	del	0.501162	74.8985
	8	crl	0.547955	79.7291
	8	crg	0.586828	83.7422
	8	crg	0.666386	91.9553
	8	del	0.693459	94.7503
	8	del	0.700937	95.5223
	8	del	0.70273	95.7074
	8	crg	0.710458	96.5051
	8	crg	0.718786	97.3648
	8	crg	0.732476	98.7782
	8	del	0.737906	99.3388
	8	crg	0.743177	99.8829
	8	crl	0.787844	104.494
	8	crg	0.800309	105.781
	8	crg	0.80039	105.789
	8	crl	0.804275	106.19
	8	crl	0.827777	108.617
	8	dup	0.83671	109.539
	8	dup	0.884522	114.475
	8	del	0.922323	118.377
	8	dup	0.966766	122.965
	1	del	0.0170855	127.003
	1	crg	0.0270781	127.359
	1	crl	0.0355509	127.66
	1	dup	0.0811027	129.279
	1	dup	0.328028	138.056
	1	crl	0.418867	141.286
	1	crl	0.458766	142.704
	1	del	0.501116	144.209
	1	dup	0.5331	145.346
	1	dup	0.540568	145.612
	1	crl	0.588872	147.329
	1	crl	0.597111	147.622
	1	crg	0.665194	150.042
	1	dup	0.697096	151.176
	1	dup	0.766656	153.648
	1	del	0.804209	154.983
	1	del	0.818165	155.479
	1	dup	0.871515	157.376
	1	dup	0.897392	158.296

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	15	15	11	14	0
	eid	type	time
	19	dup	0.352773	0.536048
	16	dup	0.900917	7.10431
	16	dup	0.907798	7.14365
	13	del	0.109574	9.22457
	13	dup	0.3735	12.9669
	13	del	0.52346	15.0932
	10	del	0.0570588	24.0882
	10	crg	0.0926372	25.4836
	10	dup	0.184995	29.1061
	10	del	0.306229	33.8611
	10	crg	0.327884	34.7105
	10	crg	0.476274	40.5306
	10	del	0.536306	42.8852
	10	crl	0.591045	45.0321
	10	crl	0.745287	51.0818
	10	dup	0.796615	53.095
	10	dup	0.887535	56.661
	10	crg	0.922403	58.0286
	10	crg	0.953324	59.2414
	10	crg	0.958252	59.4347
	10	crg	0.959423	59.4806
	3	crl	0.00891349	61.9712
	3	crl	0.0202978	63.1196
	3	del	0.0470717	65.8203
	3	crg	0.0531568	66.4341
	3	dup	0.0833423	69.4789
	3	del	0.1467	75.8699
	3	crg	0.241114	85.3935
	3	crl	0.258149	87.1119
	3	dup	0.269992	88.3064
	3	crl	0.297469	91.0782
	3	dup	0.356917	97.0746
	3	dup	0.362974	97.6857
	3	crg	0.428724	104.318
	3	del	0.440987	105.555
	3	crl	0.450549	106.519
	3	crl	0.45717	107.187
