NODE TIMES:	nid	time
	1	174.491
	2	174.491
	3	174.491
	4	174.491
	5	174.491
	6	174.491
	7	174.491
	8	174.491
	9	174.491
	10	174.491
	11	0
	12	0
	13	129.287
	14	44.8072
	15	37.1381
	16	20.7704
	17	17.4805
	18	10.9202
	19	4.5194
	20	2.05835
	21	0.729013

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 16) 	8 (16 -> 13) 	2 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 16) 	8 (16 -> 13) 	1 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 15) 	5 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 15) 	6 (15 -> 14) 	3 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 15) 	6 (15 -> 14) 	4 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 17) 	10 (17 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 17) 	9 (17 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 16) 	7 (16 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	18	25	12	21	0
	eid	type	time
	19	del	0.439573	0.320455
	16	crg	0.293628	7.55272
	16	crl	0.384339	9.25012
	16	del	0.418242	9.88451
	16	dup	0.435456	10.2066
	16	del	0.544218	12.2418
	16	crg	0.570663	12.7366
	16	del	0.615232	13.5706
	16	crg	0.901472	18.9267
	16	crl	0.914689	19.1741
	16	dup	0.951125	19.8559
	8	dup	0.027612	23.7668
	8	crg	0.0712541	28.5027
	8	crg	0.0789561	29.3385
	8	del	0.0813833	29.6019
	8	dup	0.096322	31.223
	8	dup	0.156961	37.8033
	8	crg	0.172036	39.4392
	8	crg	0.194197	41.8441
	8	del	0.229592	45.685
	8	dup	0.260532	49.0426
	8	del	0.272111	50.2991
	8	del	0.283401	51.5242
	8	crg	0.296467	52.942
	8	crg	0.302977	53.6486
	8	dup	0.334082	57.024
	8	del	0.342332	57.9192
	8	dup	0.35071	58.8283
	8	del	0.37495	61.4588
	8	crg	0.377312	61.7151
	8	dup	0.385384	62.5911
	8	crg	0.389261	63.0118
	8	dup	0.415945	65.9074
	8	crg	0.426382	67.0401
	8	del	0.451205	69.7337
	8	crg	0.458017	70.473
	8	del	0.491958	74.1561
	8	crg	0.526784	77.9353
	8	crl	0.56145	81.6972
	8	crg	0.576114	83.2885
	8	del	0.576389	83.3183
	8	crl	0.581586	83.8823
	8	crl	0.601417	86.0343
	8	del	0.611591	87.1383
	8	dup	0.668732	93.3391
	8	crl	0.678061	94.3514
	8	crg	0.691057	95.7617
	8	del	0.721972	99.1165
	8	crg	0.739079	100.973
	8	del	0.850633	113.078
	8	del	0.872725	115.476
	8	dup	0.877968	116.045
	8	del	0.885363	116.847
	8	dup	0.888569	117.195
	8	crl	0.91045	119.57
	8	dup	0.931748	121.881
	8	crg	0.995998	128.853
	2	crl	0.00704028	129.605
	2	del	0.12142	134.776
	2	dup	0.219041	139.189
	2	del	0.221904	139.318
	2	crg	0.232714	139.807
	2	crl	0.325933	144.021
	2	del	0.364909	145.783
	2	dup	0.400574	147.395
	2	del	0.409493	147.798
	2	del	0.5047	152.102
	2	crl	0.509785	152.332
	2	crl	0.515606	152.595
	2	crg	0.548552	154.084
	2	dup	0.576259	155.337
	2	dup	0.604129	156.596
	2	del	0.74484	162.957
	2	del	0.870138	168.621
	2	crg	0.915454	170.67
	2	crl	0.947651	172.125

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	17	21	14	26	0
	eid	type	time
	19	del	0.439573	0.320455
	16	crg	0.293628	7.55272
	16	crl	0.384339	9.25012
	16	del	0.418242	9.88451
	16	dup	0.435456	10.2066
	16	del	0.544218	12.2418
	16	crg	0.570663	12.7366
	16	del	0.615232	13.5706
	16	crg	0.901472	18.9267
	16	crl	0.914689	19.1741
	16	dup	0.951125	19.8559
	8	dup	0.027612	23.7668
	8	crg	0.0712541	28.5027
	8	crg	0.0789561	29.3385
	8	del	0.0813833	29.6019
	8	dup	0.096322	31.223
	8	dup	0.156961	37.8033
	8	crg	0.172036	39.4392
	8	crg	0.194197	41.8441
	8	del	0.229592	45.685
	8	dup	0.260532	49.0426
	8	del	0.272111	50.2991
	8	del	0.283401	51.5242
	8	crg	0.296467	52.942
	8	crg	0.302977	53.6486
	8	dup	0.334082	57.024
	8	del	0.342332	57.9192
	8	dup	0.35071	58.8283
	8	del	0.37495	61.4588
	8	crg	0.377312	61.7151
	8	dup	0.385384	62.5911
	8	crg	0.389261	63.0118
	8	dup	0.415945	65.9074
	8	crg	0.426382	67.0401
	8	del	0.451205	69.7337
	8	crg	0.458017	70.473
	8	del	0.491958	74.1561
	8	crg	0.526784	77.9353
	8	crl	0.56145	81.6972
	8	crg	0.576114	83.2885
	8	del	0.576389	83.3183
	8	crl	0.581586	83.8823
	8	crl	0.601417	86.0343
	8	del	0.611591	87.1383
	8	dup	0.668732	93.3391
	8	crl	0.678061	94.3514
	8	crg	0.691057	95.7617
	8	del	0.721972	99.1165
	8	crg	0.739079	100.973
	8	del	0.850633	113.078
	8	del	0.872725	115.476
	8	dup	0.877968	116.045
	8	del	0.885363	116.847
	8	dup	0.888569	117.195
	8	crl	0.91045	119.57
	8	dup	0.931748	121.881
	8	crg	0.995998	128.853
	1	crg	0.00623324	129.569
	1	crl	0.07417	132.64
