NODE TIMES:	nid	time
	1	187.662
	2	187.662
	3	187.662
	4	187.662
	5	187.662
	6	187.662
	7	187.662
	8	187.662
	9	187.662
	10	187.662
	11	0
	12	0
	13	181.864
	14	176.398
	15	63.8356
	16	29.2479
	17	14.7121
	18	13.2017
	19	12.3844
	20	1.32878
	21	1.07892

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 15) 	6 (15 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	8 (16 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 13) 	2 (13 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	12 (18 -> 17) 	10 (17 -> 14) 	4 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 15) 	5 (15 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	12 (18 -> 17) 	10 (17 -> 14) 	3 (14 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 13) 	1 (13 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	17	12	13	17	0
	eid	type	time
	19	crl	0.905886	0.97738
	18	crg	0.0642906	1.80576
	18	dup	0.300548	4.47675
	14	del	0.457378	12.7582
	11	dup	0.0636794	14.2235
	11	del	0.265535	17.4625
	11	crl	0.390611	19.4695
	11	crl	0.47873	20.8835
	11	crg	0.710891	24.6088
	11	crg	0.85263	26.8832
	11	crg	0.865821	27.0949
	11	crg	0.996795	29.1965
	7	crl	0.0336436	30.4116
	7	dup	0.0574793	31.236
	7	crl	0.0683107	31.6107
	7	crg	0.129418	33.7242
	7	crl	0.136154	33.9572
	7	dup	0.211737	36.5714
	7	crl	0.244324	37.6985
	7	crg	0.531974	47.6477
	7	del	0.573311	49.0774
	7	crg	0.803607	57.0428
	7	del	0.86491	59.1632
	7	dup	0.88372	59.8138
	7	dup	0.899714	60.3669
	6	crg	0.0410444	68.918
	6	crg	0.06203	71.5165
	6	dup	0.0684783	72.315
	6	crg	0.0715933	72.7007
	6	del	0.0858305	74.4637
	6	del	0.0886503	74.8128
	6	dup	0.0926016	75.3021
	6	crg	0.0951816	75.6216
	6	del	0.100471	76.2765
	6	dup	0.175614	85.5812
	6	del	0.29807	100.745
	6	dup	0.300167	101.004
	6	del	0.336911	105.554
	6	dup	0.389039	112.009
	6	crg	0.401033	113.494
	6	crl	0.413394	115.025
	6	crg	0.439424	118.248
	6	dup	0.462762	121.138
	6	del	0.509625	126.941
	6	dup	0.529183	129.362
	6	dup	0.553958	132.43
	6	crl	0.587368	136.567
	6	dup	0.657468	145.247
	6	crl	0.672725	147.137
	6	crg	0.681046	148.167
	6	crg	0.722759	153.332
	6	del	0.736382	155.019
	6	crg	0.760825	158.046
	6	del	0.784344	160.958
	6	crl	0.787941	161.403
	6	crl	0.86937	171.486
	6	dup	0.905013	175.9
	6	dup	0.943246	180.634
	6	crl	0.997047	187.296

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	17	18	22	33	0
	eid	type	time
	19	crl	0.905886	0.97738
	18	crg	0.0642906	1.80576
	18	dup	0.300548	4.47675
	14	del	0.457378	12.7582
	11	dup	0.0636794	14.2235
	11	del	0.265535	17.4625
	11	crl	0.390611	19.4695
	11	crl	0.47873	20.8835
	11	crg	0.710891	24.6088
	11	crg	0.85263	26.8832
	11	crg	0.865821	27.0949
	11	crg	0.996795	29.1965
	8	crg	0.000979574	29.4031
	8	crg	0.0152007	31.6559
	8	del	0.0586363	38.5367
	8	crg	0.0829178	42.3833
	8	del	0.0979708	44.7679
	8	crl	0.104959	45.8749
	8	crg	0.125974	49.2039
	8	crl	0.142587	51.8358
	8	dup	0.196548	60.3839
	8	dup	0.200887	61.0713
	8	crg	0.224924	64.879
	8	dup	0.258612	70.2157
	8	del	0.263544	70.997
	8	dup	0.28663	74.6541
	8	dup	0.29715	76.3206
	8	dup	0.305841	77.6974
	8	crg	0.322382	80.3177
	8	crg	0.339048	82.9578
	8	del	0.352665	85.1149
	8	crl	0.378637	89.2293
	8	crg	0.378888	89.269
	8	dup	0.395314	91.8711
	8	crl	0.398069	92.3076
	8	crg	0.409071	94.0504
	8	crg	0.413433	94.7415
	8	crg	0.427651	96.9938
	8	crl	0.443005	99.426
	8	crg	0.445242	99.7804
	8	del	0.446275	99.9441
	8	crl	0.45855	101.889
	8	dup	0.459928	102.107
	8	del	0.463489	102.671
	8	crg	0.463693	102.703
	8	del	0.47203	104.024
	8	crg	0.472815	104.148
	8	crl	0.473623	104.276
	8	crg	0.507082	109.577
	8	crl	0.516838	111.122
	8	del	0.555849	117.302
	8	crg	0.55804	117.649
	8	crl	0.568636	119.328
	8	crl	0.568675	119.334
	8	del	0.579578	121.061
	8	dup	0.610127	125.901
	8	del	0.633868	129.661
	8	crl	0.636899	130.142
	8	dup	0.639513	130.556
	8	crg	0.643469	131.182
	8	crg	0.643673	131.215
	8	del	0.647556	131.83
	8	crl	0.653841	132.825
	8	crl	0.683251	137.484
	8	crg	0.702553	140.542
	8	crg	0.708502	141.485
	8	del	0.710688	141.831
	8	crg	0.726273	144.3
	8	crg	0.734962	145.676
	8	crg	0.739252	146.356
	8	crl	0.747722	147.697
	8	del	0.750505	148.138
	8	crg	0.752771	148.497
	8	dup	0.753481	148.61
	8	crl	0.77123	151.421
	8	crl	0.795356	155.243
	8	crl	0.805212	156.805
	8	crg	0.809313	157.454
	8	crg	0.817795	158.798
	8	del	0.827197	160.287
	8	crl	0.848404	163.647
	8	dup	0.856761	164.971
	8	dup	0.857385	165.07
	8	crg	0.880454	168.724
	8	dup	0.895506	171.109
	8	del	0.9033	172.343
	8	del	0.909202	173.278
	8	crg	0.938913	177.985
	8	dup	0.973888	183.525
	8	crl	0.996275	187.072

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	21	21	23	24	0
	eid	type	time
	19	crl	0.905886	0.97738
	18	crg	0.0642906	1.80576
	18	dup	0.300548	4.47675
	14	del	0.457378	12.7582
	9	crl	0.0137513	17.0903
	9	del	0.0424331	22.0508
	9	dup	0.0430229	22.1529
	9	del	0.0559063	24.381
	9	dup	0.06758	26.4
	9	dup	0.0712048	27.0269
	9	dup	0.0994212	31.9069
	9	dup	0.129696	37.1429
	9	dup	0.134065	37.8986
	9	del	0.138136	38.6027
	9	del	0.152315	41.055
	9	crg	0.154545	41.4407
	9	del	0.188233	47.2669
	9	crg	0.194939	48.4266
	9	dup	0.197118	48.8035
	9	crg	0.197349	48.8436
	9	del	0.213694	51.6704
	9	crl	0.214657	51.8369
	9	crg	0.232524	54.9271
	9	crl	0.236416	55.6002
	9	del	0.252597	58.3986
	9	crg	0.255488	58.8987
	9	crl	0.261491	59.9369
	9	crg	0.289293	64.7452
	9	crl	0.306215	67.6719
	9	del	0.309411	68.2246
	9	del	0.315813	69.3319
	9	crg	0.3189	69.8657
	9	crl	0.334035	72.4834
	9	dup	0.388519	81.9063
	9	crg	0.399407	83.7894
	9	crg	0.405288	84.8066
	9	crg	0.41325	86.1835
	9	del	0.429281	88.9561
	9	dup	0.436545	90.2124
	9	crg	0.437794	90.4285
	9	crg	0.439286	90.6864
	9	del	0.4621	94.6321
	9	crl	0.46973	95.9518
	9	crl	0.474497	96.7763
	9	del	0.485502	98.6796
