NODE TIMES:	nid	time
	1	170.797
	2	170.797
	3	170.797
	4	170.797
	5	170.797
	6	170.797
	7	170.797
	8	170.797
	9	170.797
	10	170.797
	11	0
	12	0
	13	141.007
	14	138.273
	15	52.4162
	16	13.3184
	17	13.0922
	18	4.50331
	19	2.30688
	20	1.71483
	21	1.53134

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 17) 	9 (17 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 13) 	1 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 17) 	10 (17 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 13) 	2 (13 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	3 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 15) 	5 (15 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	7 (16 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 15) 	6 (15 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	8 (16 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	4 (14 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	8	10	8	18	0
	eid	type	time
	19	crg	0.304522	0.466326
	18	crl	0.075668	2.40613
	18	del	0.124778	2.97388
	18	crl	0.604096	8.51523
	9	crg	0.0160342	15.6209
	9	crg	0.0285861	17.6004
	9	crg	0.0316074	18.0769
	9	crl	0.0566051	22.0191
	9	crg	0.09073	27.4008
	9	dup	0.140843	35.3038
	9	del	0.205144	45.4444
	9	crl	0.216598	47.2509
	9	dup	0.221615	48.0421
	9	crg	0.299058	60.2551
	9	crg	0.325868	64.4832
	9	del	0.375489	72.3087
	9	del	0.407696	77.3879
	9	crg	0.432475	81.2957
	9	dup	0.441543	82.7258
	9	crg	0.468351	86.9535
	9	crl	0.478194	88.5058
	9	del	0.516628	94.5671
	9	crg	0.535094	97.4793
	9	crg	0.557905	101.077
	9	dup	0.573332	103.509
	9	crg	0.590812	106.266
	9	del	0.59291	106.597
	9	crl	0.595606	107.022
	9	crg	0.605416	108.569
	9	crl	0.636535	113.477
	9	crl	0.67905	120.182
	9	crg	0.738226	129.514
	9	del	0.739455	129.708
	9	crg	0.751895	131.67
	9	dup	0.801816	139.543
	9	dup	0.805003	140.045
	9	dup	0.825218	143.233
	9	crg	0.86549	149.584
	9	crg	0.881429	152.098
	9	crg	0.888162	153.16
	9	del	0.935892	160.687
	9	dup	0.955695	163.81
	9	del	0.985498	168.51
	9	del	0.995235	170.046

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	16	20	20	16	0
	eid	type	time
	19	crg	0.304522	0.466326
	14	del	0.378761	3.1388
	14	dup	0.973069	4.44416
	12	crg	0.0357419	9.38222
	12	crl	0.0740879	14.6166
	12	crl	0.0996642	18.1078
	12	crg	0.133552	22.7337
	12	del	0.138712	23.4381
	12	del	0.139993	23.6129
	12	crg	0.173026	28.122
	12	del	0.181808	29.3208
	12	crg	0.201463	32.0038
	12	dup	0.20907	33.0422
