NODE TIMES:	nid	time
	1	146.53
	2	146.53
	3	146.53
	4	146.53
	5	146.53
	6	146.53
	7	146.53
	8	146.53
	9	146.53
	10	146.53
	11	0
	12	0
	13	120.218
	14	100.717
	15	44.7541
	16	17.4043
	17	12.1899
	18	4.23908
	19	1.67983
	20	0.407427
	21	0.398593

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	6 (15 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	5 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 16) 	8 (16 -> 14) 	3 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 16) 	7 (16 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 17) 	9 (17 -> 13) 	2 (13 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 17) 	10 (17 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 16) 	8 (16 -> 14) 	4 (14 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 17) 	9 (17 -> 13) 	1 (13 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	20	18	9	19	0
	eid	type	time
	19	dup	0.525383	0.209414
	13	crg	0.00885648	2.06132
	13	crl	0.0481395	3.75341
	13	crl	0.0993882	5.96091
	13	del	0.163933	8.74114
	13	del	0.206889	10.5914
	13	crl	0.259792	12.8702
	13	dup	0.319989	15.4631
	13	dup	0.346358	16.599
	13	crg	0.461215	21.5463
	13	crg	0.464504	21.688
	13	dup	0.492534	22.8954
	13	dup	0.749962	33.9839
	13	dup	0.796412	35.9847
	13	dup	0.816835	36.8644
	13	del	0.848645	38.2346
	13	dup	0.989922	44.32
	13	crg	0.996439	44.6007
	6	crl	0.010131	45.7852
	6	dup	0.022131	47.0065
	6	dup	0.0312041	47.93
	6	del	0.060014	50.8621
	6	dup	0.0698478	51.863
	6	dup	0.0700456	51.8831
	6	del	0.0712841	52.0091
	6	crg	0.102456	55.1817
	6	crg	0.111692	56.1217
	6	dup	0.189446	64.0352
	6	crg	0.213423	66.4755
	6	del	0.23996	69.1763
	6	crg	0.250751	70.2746
	6	del	0.263415	71.5634
	6	dup	0.275604	72.804
	6	del	0.277504	72.9974
	6	crl	0.280073	73.2589
	6	dup	0.280729	73.3256
	6	del	0.289645	74.2331
	6	dup	0.324998	77.8311
	6	crg	0.358465	81.2373
	6	crl	0.362426	81.6404
	6	crg	0.405647	86.0393
	6	crg	0.52914	98.6079
	6	crg	0.605132	106.342
	6	del	0.641013	109.994
	6	dup	0.660655	111.993
	6	del	0.736286	119.69
	6	crg	0.74733	120.814
	6	del	0.750504	121.137
	6	crg	0.759628	122.066
	6	del	0.760884	122.194
	6	crg	0.773419	123.47
	6	crg	0.783917	124.538
	6	crg	0.804831	126.667
	6	crg	0.828085	129.033
	6	del	0.835429	129.781
	6	crl	0.839033	130.148
	6	del	0.839967	130.243
	6	del	0.856868	131.963
	6	dup	0.876576	133.969
	6	dup	0.89237	135.576
	6	crl	0.909036	137.272
	6	crg	0.909115	137.28
	6	crl	0.92191	138.582
	6	del	0.925201	138.917
	6	dup	0.98271	144.77
	6	del	0.987232	145.231

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	19	12	13	16	0
	eid	type	time
	19	dup	0.525383	0.209414
	13	crg	0.00885648	2.06132
	13	crl	0.0481395	3.75341
	13	crl	0.0993882	5.96091
	13	del	0.163933	8.74114
	13	del	0.206889	10.5914
	13	crl	0.259792	12.8702
	13	dup	0.319989	15.4631
	13	dup	0.346358	16.599
	13	crg	0.461215	21.5463
	13	crg	0.464504	21.688
	13	dup	0.492534	22.8954
	13	dup	0.749962	33.9839
	13	dup	0.796412	35.9847
	13	dup	0.816835	36.8644
	13	del	0.848645	38.2346
	13	dup	0.989922	44.32
	13	crg	0.996439	44.6007
	5	crg	0.0199406	46.7836
	5	crg	0.037859	48.6073
	5	crl	0.0536995	50.2194
	5	crg	0.122761	57.2482
	5	del	0.173555	62.4179
	5	del	0.184472	63.529
	5	dup	0.209906	66.1176
	5	del	0.234145	68.5845
	5	dup	0.253665	70.5711
	5	dup	0.267976	72.0276
	5	del	0.271979	72.4351
	5	crg	0.30092	75.3806
	5	del	0.322272	77.5537
	5	crl	0.352538	80.634
	5	dup	0.362529	81.6509
	5	del	0.378024	83.2279
	5	dup	0.396773	85.1361
	5	dup	0.422774	87.7824
