NODE TIMES:	nid	time
	1	105.541
	2	105.541
	3	105.541
	4	105.541
	5	105.541
	6	105.541
	7	105.541
	8	105.541
	9	105.541
	10	105.541
	11	0
	12	0
	13	98.3116
	14	74.774
	15	34.1309
	16	21.4742
	17	10.2748
	18	5.60772
	19	5.15019
	20	1.13821
	21	0.0342351

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 17) 	10 (17 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 14) 	4 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 15) 	5 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	8 (16 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 13) 	1 (13 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 15) 	6 (15 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 13) 	2 (13 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 14) 	3 (14 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	10	10	8	3	0
	eid	type	time
	18	crl	0.0492686	5.2324
	18	del	0.0718571	7.61563
	18	dup	0.0937421	9.92465
	18	crl	0.119302	12.6214
	18	crg	0.130882	13.8432
	18	crg	0.16666	17.6179
	18	del	0.231297	24.4376
	18	del	0.291852	30.8265
	18	crl	0.307462	32.4736
	18	dup	0.307626	32.4908
	18	dup	0.33422	35.2967
	18	del	0.369708	39.0409
	18	crl	0.382291	40.3685
	18	del	0.404105	42.67
	18	dup	0.417025	44.0331
	18	crl	0.447135	47.21
	18	crl	0.467633	49.3726
	18	crl	0.567223	59.88
	18	del	0.577397	60.9534
	18	dup	0.583923	61.6419
	18	dup	0.659821	69.6497
	18	crl	0.691302	72.9711
	18	del	0.719088	75.9027
	18	del	0.720511	76.0529
	18	dup	0.72988	77.0413
	18	del	0.748952	79.0536
	18	dup	0.78353	82.7018
	18	dup	0.821105	86.6663
	18	crg	0.899535	94.9411
	18	dup	0.902202	95.2225
	18	del	0.968942	102.264

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	16	6	9	13	0
	eid	type	time
	17	crl	0.171639	0.223721
	16	crg	0.113418	1.59324
	12	crg	0.043273	5.80968
	12	crl	0.285287	6.93917
	10	crg	0.00244058	10.5073
	10	crg	0.0317037	13.2951
	10	crg	0.0653115	16.4968
	10	crl	0.0969458	19.5104
	10	del	0.11058	20.8093
	10	crl	0.143953	23.9886
	10	dup	0.180525	27.4727
	10	dup	0.185032	27.902
	10	dup	0.192624	28.6254
	10	dup	0.211152	30.3904
	10	dup	0.225376	31.7455
	10	dup	0.226121	31.8165
	10	crl	0.229632	32.1509
	10	crg	0.232032	32.3795
	10	del	0.253463	34.4213
	10	dup	0.296346	38.5066
	10	crl	0.303389	39.1775
	10	dup	0.372945	45.8038
	10	dup	0.394865	47.892
	10	crg	0.41916	50.2065
	10	dup	0.435962	51.8072
	10	del	0.456716	53.7843
	10	dup	0.478469	55.8567
	10	crg	0.500965	57.9997
	10	crl	0.538738	61.5983
	10	del	0.543995	62.099
