NODE TIMES:	nid	time
	1	105.598
	2	105.598
	3	105.598
	4	105.598
	5	105.598
	6	105.598
	7	105.598
	8	105.598
	9	105.598
	10	105.598
	11	0
	12	0
	13	52.8586
	14	46.1917
	15	31.3619
	16	27.3868
	17	11.103
	18	8.84802
	19	3.54966
	20	2.16889
	21	0.128957

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 18) 	12 (18 -> 15) 	5 (15 -> 14) 	3 (14 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 18) 	12 (18 -> 15) 	5 (15 -> 14) 	4 (14 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 16) 	8 (16 -> 13) 	2 (13 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 16) 	8 (16 -> 13) 	1 (13 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 18) 	11 (18 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 16) 	7 (16 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 18) 	12 (18 -> 15) 	6 (15 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	16	10	11	12	0
	eid	type	time
	17	dup	0.0267208	0.361937
	17	dup	0.195081	1.82988
	17	dup	0.356737	3.23937
	17	del	0.654206	5.83302
	17	crl	0.731491	6.50687
	17	crg	0.855927	7.59183
	12	crg	0.0680604	10.3803
	12	crl	0.237863	14.2033
	12	crg	0.543199	21.0776
	12	crg	0.642326	23.3093
	12	crg	0.709221	24.8154
	12	del	0.728142	25.2413
	12	dup	0.757269	25.8971
	12	dup	0.953412	30.3131
	12	dup	0.970596	30.6999
	5	crl	0.121515	33.164
	5	del	0.204406	34.3932
	5	del	0.238257	34.8952
	5	del	0.253581	35.1225
	5	crg	0.439119	37.874
	5	crl	0.480326	38.4851
	5	crg	0.586712	40.0628
	5	dup	0.59348	40.1631
	5	crl	0.622772	40.5975
	5	crl	0.719635	42.034
	5	crl	0.803199	43.2732
	3	crl	0.0805394	50.9763
	3	del	0.175687	56.6287
	3	crg	0.183098	57.0689
	3	crl	0.22084	59.311
	3	crg	0.286012	63.1826
	3	dup	0.30545	64.3374
	3	crg	0.314352	64.8662
	3	crg	0.326694	65.5994
	3	dup	0.434993	72.0331
	3	dup	0.468831	74.0433
	3	dup	0.500333	75.9147
	3	dup	0.554776	79.1489
	3	del	0.691588	87.2765
	3	crg	0.7109	88.4237
	3	dup	0.807428	94.1581
	3	dup	0.829387	95.4626
	3	dup	0.893904	99.2953
	3	del	0.896556	99.4528
	3	crl	0.900073	99.6617
	3	crl	0.931602	101.535
	3	del	0.959686	103.203
	3	del	0.966206	103.59
	3	dup	0.995539	105.333

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	6	10	10	13	0
	eid	type	time
	15	del	0.116312	3.20803
	15	crl	0.427394	5.98728
	15	crg	0.645009	7.93148
	15	del	0.729986	8.69067
	9	crl	0.0142612	12.4506
