NODE TIMES:	nid	time
	1	118.133
	2	118.133
	3	118.133
	4	118.133
	5	118.133
	6	118.133
	7	118.133
	8	118.133
	9	118.133
	10	118.133
	11	0
	12	0
	13	92.4356
	14	73.7158
	15	37.8521
	16	14.1166
	17	10.1561
	18	8.13585
	19	5.32487
	20	2.57508
	21	1.43842

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 18) 	11 (18 -> 16) 	8 (16 -> 14) 	3 (14 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 19) 	14 (19 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 13) 	1 (13 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 18) 	11 (18 -> 16) 	8 (16 -> 14) 	4 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 18) 	12 (18 -> 17) 	10 (17 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 15) 	6 (15 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 13) 	2 (13 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 15) 	5 (15 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	11	18	18	9	0
	eid	type	time
	17	crl	0.290232	2.56639
	17	dup	0.555386	3.59691
	13	del	0.288022	6.1345
	13	crl	0.370374	6.36599
	11	del	0.199395	9.32838
	11	del	0.659964	12.0829
	11	del	0.887926	13.4463
	8	crl	0.0634005	17.8952
	8	crl	0.0966251	19.8754
	8	crg	0.190289	25.4576
	8	crg	0.223699	27.4489
	8	dup	0.236252	28.197
	8	crl	0.301108	32.0624
	8	del	0.30721	32.4261
	8	crg	0.309989	32.5917
	8	dup	0.382617	36.9203
	8	crl	0.38726	37.197
	8	del	0.394438	37.6248
	8	crl	0.397116	37.7844
	8	dup	0.444652	40.6175
	8	crl	0.465652	41.8691
	8	crl	0.545198	46.61
	8	crg	0.562089	47.6167
	8	crg	0.565565	47.8238
	8	crl	0.574532	48.3582
	8	del	0.668179	53.9396
	8	crl	0.696165	55.6075
	8	del	0.801426	61.881
	8	del	0.888505	67.0708
	8	dup	0.92316	69.1362
	8	del	0.937466	69.9889
	8	dup	0.975016	72.2268
	3	dup	0.115448	78.8437
	3	del	0.121511	79.113
	3	crg	0.128455	79.4215
	3	crl	0.158905	80.7739
	3	del	0.159921	80.8191
	3	crl	0.24894	84.773
	3	del	0.258513	85.1982
	3	crg	0.307977	87.3953
	3	crg	0.309155	87.4476
	3	dup	0.354277	89.4518
	3	crl	0.382414	90.7016
	3	del	0.38565	90.8453
	3	crl	0.494562	95.6829
	3	crl	0.588228	99.8433
	3	del	0.631791	101.778
	3	dup	0.665437	103.273
	3	del	0.750423	107.047
	3	dup	0.819312	110.107
	3	crl	0.837951	110.935
	3	crl	0.854058	111.651
	3	crg	0.857114	111.786
	3	del	0.877468	112.69
	3	del	0.91453	114.337
	3	dup	0.988132	117.606

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	14	6	15	15	0
	eid	type	time
	17	crl	0.290232	2.56639
