NODE TIMES:	nid	time
	1	170.917
	2	170.917
	3	170.917
	4	170.917
	5	170.917
	6	170.917
	7	170.917
	8	170.917
	9	170.917
	10	170.917
	11	0
	12	0
	13	118.234
	14	44.8483
	15	40.8561
	16	18.8172
	17	18.2399
	18	16.3981
	19	13.3299
	20	2.2499
	21	1.65886

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 13) 	1 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 16) 	8 (16 -> 15) 	6 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 17) 	9 (17 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 17) 	10 (17 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 13) 	2 (13 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 16) 	7 (16 -> 14) 	4 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 16) 	7 (16 -> 14) 	3 (14 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 19) 	14 (19 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 16) 	8 (16 -> 15) 	5 (15 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	13	20	19	9	0
	eid	type	time
	17	crg	0.104094	2.87374
	17	dup	0.363144	5.89712
	17	crl	0.486593	7.33789
	17	crl	0.561709	8.21457
	17	dup	0.582721	8.4598
	17	dup	0.658078	9.3393
	17	crl	0.810502	11.1182
	13	del	0.0209422	15.5268
	13	del	0.0245164	15.9017
	13	dup	0.0386094	17.3801
	13	del	0.0506051	18.6385
	13	crl	0.145549	28.5985
	13	crl	0.231359	37.6003
	13	dup	0.255504	40.1332
	13	del	0.286669	43.4025
	13	del	0.345281	49.5511
	13	crl	0.346614	49.691
	13	crl	0.360385	51.1356
	13	del	0.379339	53.124
	13	dup	0.415701	56.9384
	13	dup	0.431555	58.6016
	13	crl	0.432425	58.6929
	13	crl	0.470843	62.7231
	13	del	0.488725	64.599
	13	crg	0.535453	69.5009
	13	dup	0.541221	70.106
	13	crl	0.554948	71.546
	13	crl	0.580094	74.184
	13	crl	0.584466	74.6425
	13	del	0.625632	78.961
	13	crg	0.633616	79.7985
	13	crl	0.640126	80.4815
	13	dup	0.667824	83.3871
	13	dup	0.688249	85.5298
	13	dup	0.72283	89.1574
	13	del	0.755787	92.6148
	13	del	0.776577	94.7957
	13	crl	0.897795	107.512
	13	del	0.937149	111.64
	13	crg	0.941854	112.134
	13	crg	0.968639	114.944
	13	del	0.98576	116.74
	13	del	0.988124	116.988
	1	del	0.0371562	120.191
	1	del	0.0717445	122.013
	1	dup	0.285017	133.249
	1	crg	0.339935	136.143
	1	crl	0.348212	136.579
	1	del	0.518675	145.559
	1	dup	0.563182	147.904
	1	del	0.590199	149.327
	1	crl	0.652188	152.593
	1	crl	0.656187	152.804
	1	del	0.680195	154.069
	1	crl	0.732922	156.847
	1	crg	0.755735	158.048
	1	crg	0.783457	159.509
	1	del	0.788032	159.75
	1	crg	0.836676	162.313
	1	del	0.840504	162.514
	1	crl	0.936955	167.596

