NODE TIMES:	nid	time
	1	120.958
	2	120.958
	3	120.958
	4	120.958
	5	120.958
	6	120.958
	7	120.958
	8	120.958
	9	120.958
	10	120.958
	11	0
	12	0
	13	91.5624
	14	63.0898
	15	52.7066
	16	46.9591
	17	27.2378
	18	8.46194
	19	5.82833
	20	2.41184
	21	2.08184

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 17) 	10 (17 -> 14) 	4 (14 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 17) 	9 (17 -> 15) 	5 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 17) 	9 (17 -> 15) 	6 (15 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 16) 	7 (16 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 16) 	8 (16 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 17) 	10 (17 -> 14) 	3 (14 -> 13) 	2 (13 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 17) 	10 (17 -> 14) 	3 (14 -> 13) 	1 (13 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	13	8	11	11	0
	eid	type	time
	19	del	0.464673	0.967373
	19	crg	0.782719	1.62949
	18	crl	0.586007	4.27731
	14	dup	0.0920388	7.79884
	14	crg	0.242554	11.0213
	14	crg	0.257566	11.3427
	14	del	0.298614	12.2215
	14	dup	0.327584	12.8417
	14	crl	0.39363	14.2557
	14	del	0.436241	15.168
	14	crl	0.606395	18.8109
	10	crg	0.0276868	28.2304
	10	dup	0.128939	31.8605
	10	crg	0.148392	32.5579
	10	del	0.20057	34.4286
	10	dup	0.441525	43.0674
	10	crg	0.516243	45.7462
	10	dup	0.519783	45.8731
	10	crg	0.540076	46.6006
	10	crl	0.698158	52.2682
	10	del	0.710287	52.703
	10	crl	0.712962	52.799
	10	del	0.938353	60.8797
	4	dup	0.129022	70.5561
	4	dup	0.197375	74.5115
	4	crg	0.220257	75.8357
	4	dup	0.258435	78.0449
	4	del	0.536305	94.1246
	4	dup	0.570632	96.111
	4	crl	0.611579	98.4806
	4	crg	0.616065	98.7402
	4	dup	0.625163	99.2667
	4	crg	0.635472	99.8632
	4	crl	0.670329	101.88
	4	crg	0.683699	102.654
	4	crl	0.701252	103.67
	4	del	0.791599	108.898
	4	crl	0.8021	109.506
	4	crl	0.805815	109.721
	4	dup	0.818238	110.44
	4	dup	0.865882	113.197
	4	dup	0.905079	115.465
	4	crl	0.935133	117.204

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	13	12	14	11	0
	eid	type	time
	19	del	0.464673	0.967373
	19	crg	0.782719	1.62949
	17	crg	0.582793	2.27416
	16	dup	0.431917	5.02498
	16	crl	0.454092	5.15914
	16	crg	0.460287	5.19662
	16	dup	0.7066	6.68684
	11	crg	0.0233717	11.0912
	11	dup	0.0331212	12.1879
	11	dup	0.0844201	17.9588
	11	dup	0.0845005	17.9679
	11	del	0.124826	22.5043
	11	del	0.191445	29.9987
	11	crl	0.217284	32.9055
	11	crl	0.22486	33.7577
	11	del	0.233225	34.6987
	11	del	0.253942	37.0293
	11	dup	0.261256	37.8521
	11	crg	0.283869	40.396
	11	crl	0.290791	41.1747
	11	del	0.3598	48.938
	11	del	0.371361	50.2385
	11	dup	0.37679	50.8492
	11	crl	0.382749	51.5196
	11	dup	0.390894	52.4359
	11	del	0.403054	53.8038
	11	crg	0.414547	55.0967
	11	crl	0.419962	55.7059
	11	crl	0.425729	56.3546
	11	crg	0.437072	57.6307
	11	crg	0.440824	58.0527
	11	dup	0.447334	58.7852
	11	dup	0.451986	59.3084
	11	crl	0.455311	59.6825
	11	crl	0.469432	61.271
	11	crl	0.482897	62.7858
	11	crg	0.490589	63.6511
	11	crl	0.501061	64.8291
	11	dup	0.592628	75.1301
	11	del	0.62474	78.7425
	11	del	0.727572	90.3107
	11	del	0.740284	91.7408
	11	del	0.744525	92.2178
	11	crg	0.783782	96.6341
	11	crl	0.819558	100.659
	11	crl	0.904965	110.267
	11	dup	0.914425	111.331
	11	dup	0.934391	113.577
	11	crg	0.946627	114.953
	11	crl	0.962009	116.684

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	10	16	8	18	0
	eid	type	time
	19	del	0.464673	0.967373
	19	crg	0.782719	1.62949
	17	crg	0.582793	2.27416
	15	crl	0.0184148	4.59483
	15	crg	0.0210273	4.90453
	15	crl	0.0449315	7.73828
	15	dup	0.0451494	7.76411
	15	crg	0.0699956	10.7095
	15	del	0.0703127	10.7471
	15	crl	0.0742073	11.2088
	15	dup	0.0783364	11.6983
	15	del	0.0970416	13.9157
	15	crg	0.128823	17.6832
	15	dup	0.143097	19.3754
	15	crg	0.153203	20.5734
	15	crg	0.233064	30.0406
	15	dup	0.245764	31.5461
	15	del	0.266615	34.018
	15	crl	0.295044	37.3881
	15	crg	0.299592	37.9273
	15	del	0.319532	40.2911
	15	del	0.322615	40.6566
	15	del	0.323913	40.8104
	15	crg	0.338892	42.5861
	15	del	0.343491	43.1313
	15	dup	0.375833	46.9653
	15	crg	0.385168	48.0719
	15	crg	0.415248	51.6377
	15	crg	0.449578	55.7074
	15	crl	0.47847	59.1325
	15	del	0.486526	60.0875
	15	crg	0.535019	65.8362
	15	crg	0.554086	68.0965
	15	del	0.55699	68.4407
	15	del	0.624631	76.4593
	15	crl	0.649531	79.4111
	15	crg	0.650454	79.5204
	15	dup	0.654176	79.9617
	15	dup	0.688035	83.9755
	15	del	0.690487	84.2661
	15	dup	0.700614	85.4667
	15	del	0.751631	91.5145
	15	crl	0.760056	92.5133
	15	crg	0.811312	98.5895
	15	crg	0.812984	98.7877
	15	del	0.821565	99.8049
	15	dup	0.846391	102.748
	15	del	0.882274	107.002
	15	dup	0.893033	108.277
	15	crg	0.92888	112.527
	15	crl	0.965125	116.823
	15	del	0.987506	119.477

MUTATIONS   (4)  dup, deln, crl, crg, wgd:	11	9	8	12	0
	eid	type	time
	19	del	0.464673	0.967373
	19	crg	0.782719	1.62949
	18	crl	0.586007	4.27731
	14	dup	0.0920388	7.79884
	14	crg	0.242554	11.0213
	14	crg	0.257566	11.3427
	14	del	0.298614	12.2215
	14	dup	0.327584	12.8417
	14	crl	0.39363	14.2557
	14	del	0.436241	15.168
	14	crl	0.606395	18.8109
	9	crl	0.178043	31.7723
	9	crg	0.29962	34.8688
	9	dup	0.306845	35.0528
	9	crl	0.311108	35.1613
	9	del	0.330986	35.6676
	9	dup	0.42339	38.021
	9	dup	0.43849	38.4056
	9	dup	0.629654	43.2743
	9	dup	0.645435	43.6762
	9	crg	0.827224	48.3062
	9	del	0.918878	50.6405
	9	crg	0.99553	52.5927
	5	del	0.133599	61.8249
	5	crg	0.214628	67.3552
	5	del	0.395658	79.7107
	5	crg	0.411427	80.7869
	5	dup	0.590552	93.0124
	5	crl	0.605842	94.056
	5	crg	0.683706	99.3702
	5	del	0.694091	100.079
	5	crg	0.815115	108.339
	5	crg	0.841095	110.112
	5	del	0.86759	111.921
	5	crg	0.873358	112.314
	5	dup	0.889699	113.429
	5	crl	0.90213	114.278
	5	dup	0.911059	114.887
	5	crl	0.932973	116.383
	5	dup	0.996659	120.73

MUTATIONS   (5)  dup, deln, crl, crg, wgd:	15	5	12	10	0
	eid	type	time
	19	del	0.464673	0.967373
	19	crg	0.782719	1.62949
	18	crl	0.586007	4.27731
	14	dup	0.0920388	7.79884
	14	crg	0.242554	11.0213
	14	crg	0.257566	11.3427
	14	del	0.298614	12.2215
	14	dup	0.327584	12.8417
	14	crl	0.39363	14.2557
	14	del	0.436241	15.168
	14	crl	0.606395	18.8109
	9	crl	0.178043	31.7723
	9	crg	0.29962	34.8688
	9	dup	0.306845	35.0528
	9	crl	0.311108	35.1613
	9	del	0.330986	35.6676
	9	dup	0.42339	38.021
	9	dup	0.43849	38.4056
	9	dup	0.629654	43.2743
	9	dup	0.645435	43.6762
	9	crg	0.827224	48.3062
	9	del	0.918878	50.6405
	9	crg	0.99553	52.5927
	6	crg	0.06158	56.9095
	6	crl	0.136513	62.0237
	6	crl	0.137767	62.1093
	6	crl	0.173936	64.5779
	6	crl	0.203343	66.585
	6	crl	0.258866	70.3744
	6	dup	0.264647	70.769
	6	dup	0.317473	74.3745
	6	dup	0.342089	76.0545
	6	crl	0.346857	76.3799
	6	crl	0.348664	76.5033
	6	crg	0.465457	84.4745
	6	crg	0.472845	84.9787
	6	dup	0.612096	94.4828
	6	dup	0.631668	95.8186
	6	dup	0.635331	96.0686
