NODE TIMES:	nid	time
	1	221.675
	2	221.675
	3	221.675
	4	221.675
	5	221.675
	6	221.675
	7	221.675
	8	221.675
	9	221.675
	10	221.675
	11	0
	12	0
	13	190.814
	14	144.303
	15	112.537
	16	65.6729
	17	39.1804
	18	15.6545
	19	9.55563
	20	5.51614
	21	3.15224

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 19) 	14 (19 -> 14) 	3 (14 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 13) 	2 (13 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 13) 	1 (13 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 17) 	10 (17 -> 16) 	7 (16 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 17) 	10 (17 -> 16) 	8 (16 -> 15) 	5 (15 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 19) 	14 (19 -> 14) 	4 (14 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 17) 	9 (17 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 17) 	10 (17 -> 16) 	8 (16 -> 15) 	6 (15 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	15	18	21	20	1
	eid	type	time
	16	crg	0.440978	9.98694
	16	del	0.622154	11.8238
	16	crl	0.879573	14.4336
	12	dup	0.000935904	15.8473
	12	crl	0.0311638	22.0749
	12	del	0.0331758	22.4894
	12	dup	0.0535489	26.6867
	12	crl	0.0645588	28.955
	12	crl	0.0680416	29.6725
	12	dup	0.0753536	31.1789
	12	crl	0.0808895	32.3194
	12	crl	0.0845062	33.0645
	12	crg	0.0947485	35.1746
	12	dup	0.101327	36.5299
	12	crl	0.120743	40.53
	12	crg	0.131382	42.7219
	12	crl	0.140705	44.6426
	12	dup	0.193974	55.6172
	12	crg	0.220674	61.1179
	12	crl	0.220773	61.1382
	12	del	0.259669	69.1516
	12	wgd	0.262262	69.6858
	12	crg	0.262576	69.7506
	12	del	0.297596	76.9655
	12	dup	0.316813	80.9245
	12	del	0.334261	84.5192
	12	crl	0.372401	92.3768
	12	crg	0.380768	94.1006
	12	del	0.394615	96.9533
	12	dup	0.398032	97.6573
	12	crg	0.398436	97.7405
	12	crg	0.402212	98.5183
	12	del	0.451637	108.701
	12	crg	0.467765	112.024
	12	crg	0.471293	112.751
	12	crl	0.474678	113.448
	12	crg	0.475161	113.547
	12	dup	0.484293	115.429
	12	crg	0.485733	115.725
	12	del	0.488505	116.297
	12	crl	0.488984	116.395
	12	crg	0.492259	117.07
	12	crg	0.512641	121.269
	12	dup	0.52876	124.59
	12	crl	0.529413	124.724
	12	del	0.537384	126.367
	12	crl	0.546812	128.309
	12	crl	0.584767	136.128
	12	del	0.590943	137.401
	12	dup	0.594613	138.157
	12	crl	0.639837	147.474
	12	del	0.684201	156.614
	12	dup	0.696284	159.103
	12	crg	0.698668	159.594
	12	del	0.725581	165.139
	12	crg	0.731329	166.323
	12	del	0.743911	168.915
	12	crl	0.769634	174.215
