NODE TIMES:	nid	time
	1	331.927
	2	331.927
	3	331.927
	4	331.927
	5	331.927
	6	331.927
	7	331.927
	8	331.927
	9	331.927
	10	331.927
	11	0
	12	0
	13	74.7876
	14	51.3391
	15	37.5692
	16	21.9351
	17	14.7868
	18	11.7954
	19	4.22659
	20	1.93279
	21	1.5733

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 16) 	8 (16 -> 14) 	3 (14 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 16) 	8 (16 -> 14) 	4 (14 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	12 (18 -> 15) 	5 (15 -> 13) 	1 (13 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	12 (18 -> 15) 	5 (15 -> 13) 	2 (13 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	12 (18 -> 15) 	6 (15 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	11 (18 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 16) 	7 (16 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	21	26	30	36	0
	eid	type	time
	13	crg	0.078147	5.05184
	13	dup	0.212968	6.47558
	13	crl	0.370084	8.13475
	8	del	0.218178	28.3504
	8	del	0.401472	33.7399
	8	del	0.694552	42.3577
	8	dup	0.850322	46.938
	8	dup	0.884429	47.9408
	8	crl	0.947601	49.7983
	8	crl	0.995766	51.2146
	3	crl	0.0064206	53.1406
	3	del	0.0190805	56.6928
	3	dup	0.0334101	60.7136
	3	del	0.0462628	64.3199
	3	crl	0.0705687	71.1398
	3	crl	0.0707967	71.2038
	3	crg	0.0727041	71.739
	3	crg	0.0776158	73.1171
	3	dup	0.0906371	76.7708
	3	del	0.103371	80.3438
	3	dup	0.120262	85.083
	3	crg	0.131371	88.2001
	3	crl	0.135563	89.3764
	3	del	0.141419	91.0196
	3	crg	0.144196	91.7987
	3	crg	0.152363	94.0904
	3	del	0.155341	94.9257
	3	del	0.159265	96.027
	3	crg	0.162572	96.9547
	3	crl	0.181629	102.302
	3	crg	0.204313	108.667
	3	crl	0.220439	113.192
	3	crl	0.225377	114.577
	3	crg	0.235054	117.292
	3	crg	0.25368	122.519
	3	crl	0.272563	127.817
	3	del	0.293801	133.776
	3	dup	0.320268	141.202
	3	crl	0.33354	144.926
	3	del	0.337288	145.978
	3	crg	0.355176	150.997
	3	crg	0.359762	152.284
	3	del	0.363271	153.268
	3	del	0.366963	154.304
	3	del	0.386858	159.887
	3	crl	0.389302	160.572
	3	crl	0.399481	163.428
	3	crg	0.399766	163.509
	3	dup	0.41676	168.277
	3	crg	0.427755	171.362
	3	dup	0.434701	173.311
	3	crl	0.437806	174.182
	3	dup	0.438143	174.277
	3	del	0.452372	178.269
	3	crg	0.454704	178.923
	3	del	0.461601	180.859
	3	crg	0.468675	182.844
	3	crl	0.494471	190.081
	3	crl	0.502096	192.221
	3	crg	0.514131	195.598
	3	del	0.514403	195.674
	3	dup	0.521599	197.693
	3	crg	0.521817	197.755
	3	crg	0.52951	199.913
	3	dup	0.531997	200.611
	3	del	0.532958	200.88
	3	crg	0.534818	201.403
	3	crl	0.547306	204.906
	3	crg	0.565009	209.874
	3	dup	0.571944	211.82
	3	dup	0.574458	212.525
	3	crg	0.62986	228.07
	3	dup	0.631337	228.484
	3	del	0.644933	232.299
	3	crg	0.660092	236.553
	3	del	0.682967	242.971
	3	crg	0.688968	244.655
	3	crg	0.694053	246.082
	3	crl	0.700274	247.827
	3	crl	0.713142	251.438
	3	del	0.717038	252.531
	3	crg	0.72231	254.01
	3	del	0.727274	255.403
	3	crg	0.729329	255.98
	3	crl	0.733099	257.038
	3	del	0.735117	257.604
	3	crl	0.739732	258.899
	3	crg	0.740166	259.021
	3	dup	0.752253	262.412
	3	crl	0.752669	262.529
	3	crg	0.778961	269.906
	3	dup	0.784374	271.425
	3	dup	0.786414	271.997
	3	crl	0.794715	274.326
	3	crl	0.798244	275.317
	3	del	0.800787	276.03
	3	crl	0.809047	278.348
	3	crg	0.82313	282.299
	3	crg	0.843622	288.049
	3	crl	0.846756	288.928
	3	crg	0.858915	292.34
	3	crg	0.875958	297.122
	3	crl	0.879401	298.088
	3	crl	0.897426	303.146
	3	dup	0.902019	304.435
	3	del	0.932	312.847
	3	del	0.940246	315.16
	3	dup	0.950667	318.084
	3	crg	0.955624	319.475
	3	crl	0.97196	324.059
	3	dup	0.978148	325.795
	3	crg	0.996644	330.985
	3	crg	0.99747	331.217

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	25	37	37	21	1
	eid	type	time
	13	crg	0.078147	5.05184
	13	dup	0.212968	6.47558
	13	crl	0.370084	8.13475
	8	del	0.218178	28.3504
	8	del	0.401472	33.7399
	8	del	0.694552	42.3577
	8	dup	0.850322	46.938
	8	dup	0.884429	47.9408
	8	crl	0.947601	49.7983
	8	crl	0.995766	51.2146
	4	del	0.0015541	51.7752
	4	del	0.0336654	60.7852
	4	crg	0.0495176	65.2331
	4	dup	0.0587799	67.832
	4	dup	0.0718387	71.4962
	4	crg	0.0811515	74.1092
	4	crl	0.084287	74.989
	4	crl	0.122182	85.6219
	4	del	0.144066	91.7624
	4	crl	0.145098	92.0518
	4	dup	0.166074	97.9375
	4	del	0.166825	98.1482
	4	crg	0.169463	98.8882
	4	crl	0.179206	101.622
	4	crl	0.182899	102.658
	4	crg	0.185359	103.348
	4	del	0.191031	104.94
	4	del	0.20521	108.918
	4	del	0.21284	111.059
	4	dup	0.215753	111.877
	4	crl	0.217396	112.338
