NODE TIMES:	nid	time
	1	136.809
	2	136.809
	3	136.809
	4	136.809
	5	136.809
	6	136.809
	7	136.809
	8	136.809
	9	136.809
	10	136.809
	11	0
	12	0
	13	133.461
	14	77.3652
	15	62.3794
	16	25.6577
	17	24.1991
	18	15.0301
	19	13.8948
	20	2.54395
	21	0.0974202

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 14) 	3 (14 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 14) 	4 (14 -> 13) 	1 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 16) 	7 (16 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	5 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 14) 	4 (14 -> 13) 	2 (13 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 16) 	8 (16 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	6 (15 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	18	6	13	11	0
	eid	type	time
	17	dup	0.0998137	0.341618
	17	crl	0.780112	2.00599
	15	crg	0.226508	7.44901
	15	crl	0.52774	13.9722
	15	dup	0.548367	14.4189
	15	crl	0.743036	18.6345
	15	crl	0.83701	20.6695
	10	crg	0.031359	25.8663
	10	dup	0.0474846	26.7237
	10	dup	0.0607481	27.4288
	10	dup	0.0640516	27.6045
