NODE TIMES:	nid	time
	1	266.507
	2	266.507
	3	266.507
	4	266.507
	5	266.507
	6	266.507
	7	266.507
	8	266.507
	9	266.507
	10	266.507
	11	0
	12	0
	13	211.881
	14	162.664
	15	43.7672
	16	16.3158
	17	7.93536
	18	3.97411
	19	2.70089
	20	2.54472
	21	1.91731

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 18) 	12 (18 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	7 (16 -> 15) 	5 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 18) 	11 (18 -> 17) 	10 (17 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 18) 	11 (18 -> 17) 	9 (17 -> 14) 	4 (14 -> 13) 	2 (13 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 18) 	11 (18 -> 17) 	9 (17 -> 14) 	3 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	7 (16 -> 15) 	6 (15 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 18) 	11 (18 -> 17) 	9 (17 -> 14) 	4 (14 -> 13) 	1 (13 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	8 (16 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	25	29	35	24	0
	eid	type	time
	12	crl	0.0142846	7.7243
	12	dup	0.0363495	13.5171
	12	dup	0.0415527	14.8831
	12	dup	0.055508	18.5468
	12	del	0.0562568	18.7434
	12	del	0.0691344	22.1242
	12	dup	0.077112	24.2186
	12	crl	0.0777442	24.3845
	12	crg	0.105932	31.7847
	12	dup	0.113731	33.8322
	12	dup	0.115937	34.4116
	12	del	0.120394	35.5815
	12	crg	0.121992	36.001
	12	del	0.150455	43.4735
	12	crg	0.159405	45.8233
	12	del	0.16475	47.2265
	12	crl	0.183982	52.2754
	12	del	0.187393	53.1711
	12	del	0.193852	54.8666
	12	dup	0.206986	58.3147
	12	crl	0.216414	60.79
	12	crg	0.229957	64.3454
	12	crg	0.233151	65.184
	12	del	0.236298	66.0101
	12	crg	0.244142	68.0694
	12	dup	0.245408	68.4019
	12	crg	0.247745	69.0153
	12	dup	0.254651	70.8284
	12	crg	0.256026	71.1895
	12	crl	0.263818	73.2352
	12	del	0.274889	76.1416
	12	dup	0.284251	78.5995
	12	crl	0.330355	90.7034
	12	del	0.330822	90.8259
	12	del	0.339093	92.9972
	12	crg	0.362589	99.1659
	12	crg	0.38213	104.296
	12	crl	0.384342	104.877
	12	crl	0.386649	105.482
	12	crl	0.409311	111.432
	12	del	0.424	115.288
	12	crg	0.427786	116.282
	12	crg	0.433213	117.707
	12	del	0.435548	118.32
	12	del	0.446463	121.186
	12	dup	0.457381	124.052
	12	crl	0.457721	124.141
	12	crl	0.460988	124.999
	12	del	0.461843	125.223
	12	dup	0.469413	127.211
	12	del	0.479341	129.817
	12	crg	0.481975	130.509
	12	dup	0.49442	133.776
	12	dup	0.522508	141.15
	12	dup	0.545734	147.247
	12	crl	0.554094	149.442
	12	del	0.555514	149.815
	12	del	0.568205	153.147
	12	del	0.58911	158.635
	12	crl	0.592432	159.507
	12	crl	0.617519	166.093
	12	crl	0.621619	167.17
	12	crg	0.630447	169.487
	12	dup	0.64044	172.111
	12	crg	0.646631	173.736
	12	del	0.647155	173.874
	12	crg	0.656855	176.42
	12	del	0.678304	182.051
	12	crg	0.681514	182.894
	12	crl	0.689167	184.903
	12	crl	0.695007	186.437
	12	del	0.700883	187.979
	12	crl	0.73376	196.611
	12	crg	0.734316	196.756
	12	dup	0.75747	202.835
	12	crl	0.766445	205.191
	12	dup	0.769644	206.031
	12	dup	0.770614	206.286
	12	crl	0.776657	207.872
	12	del	0.776754	207.898
	12	crg	0.78405	209.813
	12	dup	0.789141	211.15
	12	crl	0.793077	212.183
	12	crl	0.79735	213.305
	12	crl	0.808458	216.221
	12	del	0.810491	216.755
	12	del	0.816528	218.34
	12	crl	0.822118	219.807
	12	crl	0.833822	222.88
	12	crl	0.844796	225.761
	12	crl	0.847148	226.379
	12	crg	0.85461	228.338
	12	dup	0.856572	228.853
	12	crg	0.870275	232.45
	12	crl	0.881117	235.297
	12	dup	0.887898	237.077
	12	crl	0.902516	240.914
	12	del	0.931215	248.449
	12	crl	0.941046	251.03
	12	del	0.941946	251.266
	12	del	0.942368	251.377
	12	dup	0.944407	251.912
	12	dup	0.950049	253.394
	12	crl	0.95639	255.058
	12	crg	0.963619	256.956
	12	crl	0.97029	258.707
	12	del	0.974347	259.773
	12	crg	0.979971	261.249
	12	crl	0.989001	263.62
	12	crg	0.989674	263.796
	12	crl	0.993753	264.867
	12	dup	0.995055	265.209
	12	crl	0.998457	266.102

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	21	28	37	18	0
	eid	type	time
	13	crg	0.0639543	3.57162
	13	del	0.443026	8.73266
	13	del	0.55715	10.2864
	13	del	0.647355	11.5146
	13	crl	0.692198	12.1251
	13	dup	0.858601	14.3907
	7	del	0.0910167	18.8143
	7	del	0.339639	25.6394
	7	crl	0.499844	30.0372
	7	dup	0.652923	34.2394
	7	del	0.699697	35.5234
	7	crl	0.918027	41.5169
	5	crl	0.00342698	44.5305
	5	crl	0.010937	46.2033
	5	crl	0.0117977	46.395
	5	dup	0.0132764	46.7244
	5	crl	0.0611413	57.3858
	5	crl	0.109579	68.1747
	5	crl	0.116747	69.7714
	5	del	0.122916	71.1455
	5	crl	0.185815	85.1556
	5	del	0.186125	85.2248
	5	dup	0.215723	91.8173
	5	dup	0.23878	96.953
	5	crl	0.2464	98.6504
	5	crg	0.24977	99.401
	5	del	0.259723	101.618
	5	del	0.266443	103.115
	5	del	0.267153	103.273
	5	crg	0.271084	104.149
	5	crl	0.272316	104.423
	5	crg	0.272927	104.559
	5	crl	0.301087	110.831
	5	del	0.309227	112.644
	5	crl	0.321234	115.319
	5	del	0.323985	115.932
	5	del	0.34596	120.826
	5	crg	0.355791	123.016
	5	crl	0.366032	125.297
	5	crl	0.374994	127.293
	5	crg	0.377604	127.875
	5	dup	0.377691	127.894
	5	dup	0.384963	129.514
	5	del	0.402866	133.502
	5	crg	0.420067	137.333
	5	del	0.427702	139.034
	5	dup	0.429828	139.507
	5	crl	0.432734	140.154
	5	del	0.436827	141.066
	5	del	0.438357	141.407
	5	crl	0.438872	141.522
	5	crl	0.461362	146.531
	5	crl	0.476513	149.906
	5	crl	0.483086	151.37
	5	crg	0.493999	153.801
	5	crg	0.503528	155.923
	5	dup	0.504009	156.03
	5	crl	0.505321	156.322
	5	dup	0.505741	156.416
	5	del	0.517216	158.972
	5	crg	0.544863	165.13
	5	del	0.563996	169.392
	5	del	0.586468	174.397
	5	crl	0.587301	174.583
	5	del	0.598849	177.155
	5	del	0.60324	178.133
	5	del	0.610226	179.689
	5	dup	0.615749	180.919
	5	crg	0.619446	181.743
	5	dup	0.623648	182.679
	5	dup	0.630242	184.147
	5	crl	0.64714	187.911
	5	crl	0.674128	193.923
	5	dup	0.675228	194.168
	5	crl	0.70838	201.552
	5	del	0.713815	202.762
	5	dup	0.714598	202.937
	5	crg	0.738071	208.165
	5	crl	0.749827	210.784
	5	crg	0.775106	216.414
	5	dup	0.789585	219.639
	5	del	0.802013	222.408
	5	crl	0.810846	224.375
	5	del	0.824076	227.322
	5	crg	0.829966	228.634
	5	crl	0.833249	229.365
	5	crl	0.838364	230.505
	5	crl	0.845744	232.148
	5	dup	0.849078	232.891
	5	dup	0.855437	234.307
	5	crg	0.860376	235.407
	5	del	0.865037	236.446
	5	dup	0.868531	237.224
	5	crg	0.87075	237.718
	5	crl	0.872274	238.058
	5	crl	0.88219	240.266
	5	crl	0.916237	247.85
	5	dup	0.924823	249.762
	5	crl	0.942634	253.73
	5	crl	0.963192	258.309
	5	crl	0.966722	259.095
	5	crg	0.978622	261.746
	5	dup	0.995494	265.504
	5	crg	0.999918	266.489

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	22	25	19	37	0
	eid	type	time
	10	crg	0.00900177	10.263
	10	crg	0.01367	11.47
	10	dup	0.0185221	12.7247
	10	del	0.0247732	14.341
	10	del	0.0431271	19.0868
	10	del	0.0459699	19.8219
	10	crg	0.0530109	21.6425
	10	del	0.0673064	25.3389
	10	del	0.0794578	28.4809
	10	del	0.0821708	29.1824
	10	crl	0.0838095	29.6061
	10	dup	0.095426	32.6099
	10	crg	0.0977974	33.223
	10	crl	0.12081	39.1734
	10	crg	0.137536	43.4983
	10	dup	0.149163	46.5048
	10	crg	0.171406	52.2562
	10	crg	0.179576	54.3686
	10	crg	0.184903	55.7462
	10	del	0.18932	56.8882
	10	dup	0.19022	57.1209
	10	dup	0.202348	60.257
	10	dup	0.231141	67.702
	10	dup	0.234686	68.6185
	10	crg	0.245308	71.3652
	10	crg	0.247257	71.8692
	10	crl	0.257787	74.5918
	10	del	0.26026	75.2312
	10	crg	0.264562	76.3438
	10	crg	0.268162	77.2746
	10	crg	0.285836	81.8446
	10	crg	0.295079	84.2345
	10	crl	0.309622	87.995
	10	dup	0.32347	91.5757
	10	crl	0.327979	92.7416
	10	dup	0.335033	94.5655
	10	crl	0.345409	97.2486
	10	del	0.352127	98.9856
	10	crl	0.352782	99.155
	10	del	0.367408	102.937
	10	del	0.389667	108.692
	10	del	0.39249	109.422
	10	crg	0.411066	114.225
	10	crg	0.417374	115.856
	10	del	0.422412	117.159
	10	dup	0.424377	117.667
	10	dup	0.426694	118.267
	10	crl	0.441338	122.053
	10	crg	0.449891	124.265
	10	del	0.499893	137.194
	10	dup	0.505515	138.647
	10	del	0.511842	140.283
	10	crg	0.514555	140.985
	10	crl	0.544642	148.765
	10	crl	0.552255	150.733
	10	del	0.559294	152.553
	10	del	0.563713	153.696
	10	crg	0.56468	153.946
	10	del	0.565799	154.235
	10	crg	0.583992	158.939
	10	del	0.610471	165.786
	10	dup	0.63995	173.409
	10	del	0.645762	174.911
	10	crl	0.658237	178.137
	10	crl	0.672009	181.698
	10	crg	0.684555	184.942
	10	crl	0.684775	184.999
	10	crl	0.693339	187.213
	10	crl	0.697805	188.368
	10	crg	0.701134	189.229
	10	del	0.724076	195.161
	10	dup	0.726861	195.881
	10	crl	0.73824	198.824
	10	crg	0.747791	201.293
	10	dup	0.752464	202.501
	10	dup	0.795851	213.72
	10	dup	0.832357	223.16
	10	crg	0.835993	224.1
	10	crg	0.83794	224.603
	10	crg	0.843199	225.963
	10	dup	0.850794	227.927
	10	crg	0.855086	229.037
	10	dup	0.855785	229.217
	10	dup	0.858214	229.846
	10	del	0.865513	231.733
	10	crg	0.875427	234.296
	10	crg	0.887005	237.29
	10	del	0.893039	238.85
	10	crg	0.895962	239.606
	10	crl	0.903985	241.681
	10	crg	0.914544	244.411
	10	del	0.921544	246.221
	10	crg	0.939574	250.883
	10	crl	0.944015	252.031
	10	dup	0.944199	252.079
	10	crg	0.947175	252.848
	10	crg	0.98323	262.171
	10	crg	0.986205	262.94
	10	del	0.986361	262.981
	10	crg	0.987701	263.327
	10	crl	0.995683	265.391
	10	crg	0.997631	265.895
	10	dup	0.998527	266.126

MUTATIONS   (4)  dup, deln, crl, crg, wgd:	28	23	36	24	0
	eid	type	time
	9	dup	0.0107176	9.59367
	9	dup	0.0221766	11.3667
	9	del	0.0409866	14.2771
	9	crl	0.0657186	18.1039
	9	crl	0.0709579	18.9146
	9	del	0.0860645	21.252
	9	del	0.118929	26.3371
	9	crg	0.156049	32.0806
	9	crl	0.156249	32.1116
	9	crg	0.170449	34.3086
	9	dup	0.174511	34.9371
	9	crl	0.177508	35.4008
	9	crl	0.18305	36.2585
	9	del	0.203504	39.4231
	9	dup	0.209925	40.4167
	9	dup	0.223818	42.5664
	9	crl	0.244151	45.7124
	9	dup	0.246173	46.0253
	9	crg	0.246876	46.1341
	9	crl	0.308961	55.7404
	9	del	0.310985	56.0535
	9	crg	0.327461	58.6028
	9	del	0.348408	61.8439
	9	crl	0.355075	62.8755
	9	del	0.385558	67.5921
	9	crl	0.39606	69.2171
	9	crg	0.396102	69.2235
	9	dup	0.397114	69.3801
	9	dup	0.432781	74.8988
	9	crg	0.444979	76.7862
	9	dup	0.462018	79.4227
	9	del	0.473746	81.2373
	9	dup	0.485363	83.0348
	9	crl	0.489785	83.719
	9	dup	0.491955	84.0548
	9	crg	0.494832	84.4999
	9	crg	0.4966	84.7735
	9	dup	0.497367	84.8921
	9	crg	0.539029	91.3384
	9	crl	0.544823	92.235
	9	crg	0.578429	97.4348
	9	crl	0.578823	97.4958
	9	dup	0.581118	97.8507
	9	crg	0.613049	102.791
	9	dup	0.613554	102.87
	9	crl	0.619101	103.728
	9	crg	0.629439	105.327
	9	del	0.645789	107.857
	9	del	0.650832	108.637
	9	crl	0.659891	110.039
	9	dup	0.666111	111.002
	9	del	0.687908	114.374
	9	dup	0.694117	115.335
	9	dup	0.694901	115.456
	9	crl	0.698919	116.078
	9	crg	0.713174	118.284
	9	crl	0.75269	124.398
	9	crl	0.761941	125.829
	9	del	0.797231	131.29
	9	dup	0.813349	133.783
	9	dup	0.830801	136.484
	9	crl	0.836284	137.332
	9	del	0.850615	139.55
	9	dup	0.879603	144.035
	9	crl	0.899228	147.071
	9	dup	0.925968	151.209
	9	dup	0.969913	158.008
	9	crl	0.983653	160.134
	9	crl	0.992747	161.541
	4	dup	0.0648852	165.857
	4	crg	0.071529	166.184
	4	del	0.100715	167.621
	4	crl	0.12546	168.839
	4	crl	0.159368	170.507
	4	crl	0.347701	179.777
	4	del	0.367018	180.727
	4	crg	0.396065	182.157
	4	dup	0.417793	183.226
	4	crg	0.447631	184.695
	4	crg	0.466269	185.612
	4	crg	0.476607	186.121
	4	crl	0.50685	187.61
	4	crl	0.519857	188.25
	4	crl	0.556319	190.044
	4	dup	0.637424	194.036
	4	crg	0.645637	194.44
	4	crl	0.74961	199.558
	4	del	0.77737	200.924
	4	crl	0.791163	201.603
	4	crg	0.82258	203.149
	4	dup	0.876975	205.826
	2	crl	0.0663723	215.507
	2	dup	0.102478	217.479
	2	crl	0.130059	218.986
	2	crg	0.236611	224.806
	2	del	0.356858	231.375
	2	del	0.419525	234.798
	2	crg	0.499559	239.17
	2	del	0.508441	239.655
	2	crl	0.557156	242.316
	2	del	0.581901	243.668
	2	crl	0.681665	249.118
	2	crg	0.688946	249.516
	2	del	0.729503	251.731
	2	del	0.733621	251.956
	2	dup	0.773511	254.135
	2	crg	0.823013	256.839
	2	crl	0.941464	263.31
	2	crl	0.957521	264.187
	2	del	0.967632	264.739
	2	crl	0.98278	265.567

MUTATIONS   (5)  dup, deln, crl, crg, wgd:	39	22	34	22	0
	eid	type	time
	9	dup	0.0107176	9.59367
	9	dup	0.0221766	11.3667
	9	del	0.0409866	14.2771
	9	crl	0.0657186	18.1039
	9	crl	0.0709579	18.9146
	9	del	0.0860645	21.252
	9	del	0.118929	26.3371
	9	crg	0.156049	32.0806
	9	crl	0.156249	32.1116
	9	crg	0.170449	34.3086
	9	dup	0.174511	34.9371
	9	crl	0.177508	35.4008
	9	crl	0.18305	36.2585
	9	del	0.203504	39.4231
	9	dup	0.209925	40.4167
	9	dup	0.223818	42.5664
	9	crl	0.244151	45.7124
	9	dup	0.246173	46.0253
	9	crg	0.246876	46.1341
	9	crl	0.308961	55.7404
	9	del	0.310985	56.0535
	9	crg	0.327461	58.6028
	9	del	0.348408	61.8439
	9	crl	0.355075	62.8755
	9	del	0.385558	67.5921
	9	crl	0.39606	69.2171
	9	crg	0.396102	69.2235
	9	dup	0.397114	69.3801
	9	dup	0.432781	74.8988
	9	crg	0.444979	76.7862
	9	dup	0.462018	79.4227
	9	del	0.473746	81.2373
	9	dup	0.485363	83.0348
	9	crl	0.489785	83.719
	9	dup	0.491955	84.0548
	9	crg	0.494832	84.4999
	9	crg	0.4966	84.7735
	9	dup	0.497367	84.8921
	9	crg	0.539029	91.3384
