NODE TIMES:	nid	time
	1	156.081
	2	156.081
	3	156.081
	4	156.081
	5	156.081
	6	156.081
	7	156.081
	8	156.081
	9	156.081
	10	156.081
	11	0
	12	0
	13	127.134
	14	44.2487
	15	40.5769
	16	30.4812
	17	26.5394
	18	17.1377
	19	3.08396
	20	1.36554
	21	0.343732

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 16) 	8 (16 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 13) 	1 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 17) 	10 (17 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 15) 	6 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 13) 	2 (13 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 14) 	3 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 15) 	5 (15 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 14) 	4 (14 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	14	17	14	16	0
	eid	type	time
	13	del	0.404699	8.77148
	13	dup	0.486348	9.91894
	13	crg	0.752148	13.6544
	13	dup	0.807956	14.4387
	13	crl	0.854312	15.0902
	11	dup	0.125178	18.808
	8	del	0.0276012	33.9479
	8	crl	0.036978	35.1256
	8	crg	0.04298	35.8795
	8	crg	0.0624533	38.3253
	8	crl	0.0769272	40.1432
	8	dup	0.0788554	40.3854
	8	del	0.133599	47.2611
	8	crg	0.151147	49.4652
	8	del	0.159757	50.5465
	8	del	0.1689	51.695
	8	del	0.194917	54.9627
	8	del	0.210509	56.921
	8	dup	0.231146	59.5129
	8	del	0.244221	61.1552
	8	crg	0.257311	62.7993
	8	del	0.274182	64.9183
	8	crl	0.307306	69.0787
	8	crg	0.337294	72.8451
	8	crg	0.337522	72.8737
	8	crg	0.340797	73.2851
	8	crl	0.372341	77.247
	8	del	0.373079	77.3397
	8	dup	0.378845	78.0638
	8	crl	0.39964	80.6757
	8	dup	0.404958	81.3437
	8	crg	0.421714	83.4482
	8	dup	0.443362	86.1671
	8	del	0.482947	91.139
	8	crl	0.520746	95.8865
	8	crl	0.532908	97.4141
	8	crg	0.536946	97.9213
	8	crg	0.539036	98.1838
	8	dup	0.557264	100.473
	8	crg	0.584838	103.937
	8	crl	0.597991	105.588
	8	crl	0.599901	105.828
	8	del	0.638406	110.665
	8	del	0.64823	111.898
	8	crl	0.698108	118.163
	8	del	0.757588	125.634
	8	crl	0.7584	125.736
	8	crl	0.761537	126.13
	8	del	0.780985	128.572
	8	crg	0.805559	131.659
	8	dup	0.808105	131.979
	8	dup	0.849585	137.189
	8	dup	0.86524	139.155
	8	del	0.872189	140.028
	8	crl	0.875	140.381
	8	dup	0.891041	142.395
	8	dup	0.916091	145.542
	8	crg	0.953982	150.301
	8	crg	0.958258	150.838
	8	del	0.969092	152.199
	8	crg	0.995533	155.52

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	20	11	21	13	0
	eid	type	time
	16	dup	0.0157793	3.35009
	16	dup	0.0193903	3.80425
	16	dup	0.039087	6.28147
	16	crg	0.0454578	7.08272
	16	crg	0.0551565	8.30252
	16	crl	0.0679872	9.91622
	16	dup	0.147245	19.8844
	16	crl	0.172961	23.1187
	16	del	0.191533	25.4545
	16	crg	0.199647	26.475
	16	crl	0.200203	26.5448
	16	del	0.204471	27.0817
	16	dup	0.23421	30.8219
	16	crg	0.238108	31.3121
	16	crg	0.252257	33.0917
	16	crl	0.269072	35.2064
	16	crl	0.271887	35.5605
	16	dup	0.286119	37.3504
	16	dup	0.28623	37.3644
	16	crl	0.305121	39.7403
	16	crl	0.311489	40.5412
	16	dup	0.335864	43.6068
	16	crl	0.353741	45.8552
	16	dup	0.369358	47.8194
	16	crl	0.438144	56.4704
	16	dup	0.443567	57.1524
	16	dup	0.476793	61.3313
	16	crg	0.498785	64.0972
	16	del	0.522433	67.0713
	16	del	0.5273	67.6835
	16	crl	0.555602	71.243
	16	crg	0.585745	75.0341
	16	crl	0.596491	76.3855
	16	crg	0.596825	76.4276
	16	crl	0.596916	76.4391
	16	dup	0.62002	79.3448
	16	crg	0.633368	81.0236
	16	crl	0.676859	86.4934
	16	del	0.678201	86.6622
	16	crl	0.689854	88.1278
	16	del	0.724273	92.4565
	16	crl	0.737176	94.0794
	16	dup	0.742907	94.8001
	16	crl	0.751698	95.9057
	16	dup	0.787869	100.455
	16	dup	0.797169	101.625
	16	del	0.821139	104.639
	16	crg	0.88725	112.954
	16	dup	0.894442	113.858
	16	del	0.941312	119.753
	16	dup	0.948195	120.619
	16	crg	0.981564	124.816
	16	crg	0.994261	126.413
	1	del	0.139081	131.16
	1	del	0.294998	135.674
	1	crl	0.571644	143.681
	1	crl	0.598418	144.456
	1	crl	0.712145	147.748
	1	dup	0.728304	148.216
	1	dup	0.770364	149.433
	1	del	0.798174	150.238
	1	dup	0.823282	150.965
	1	crg	0.857831	151.965
	1	crl	0.940597	154.361
	1	crl	0.995219	155.942

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	15	9	17	17	0
	eid	type	time
	13	del	0.404699	8.77148
	13	dup	0.486348	9.91894
	13	crg	0.752148	13.6544
	13	dup	0.807956	14.4387
	13	crl	0.854312	15.0902
	12	crg	0.291562	19.8789
	12	dup	0.759522	24.2785
	10	crl	0.0189097	28.989
	10	crg	0.0690498	35.4842
	10	crl	0.0917737	38.4279
	10	crg	0.104142	40.03
	10	del	0.131548	43.5803
	10	crl	0.136206	44.1837
	10	crl	0.16978	48.5329
	10	dup	0.17233	48.8633
	10	dup	0.191033	51.2861
	10	crl	0.218026	54.7828
	10	crg	0.30458	65.9951
	10	dup	0.31017	66.7192
	10	dup	0.313122	67.1016
	10	crl	0.352658	72.2231
	10	del	0.354281	72.4334
	10	dup	0.377116	75.3914
	10	crl	0.381911	76.0126
	10	crl	0.385093	76.4248
	10	dup	0.398779	78.1977
	10	crg	0.420025	80.95
	10	del	0.429204	82.139
	10	crg	0.429798	82.2159
	10	crl	0.438811	83.3834
	10	del	0.489841	89.994
	10	crg	0.506794	92.1901
	10	crg	0.508312	92.3868
	10	del	0.514967	93.2488
	10	del	0.582924	102.052
	10	crg	0.583718	102.155
	10	del	0.584293	102.229
	10	crg	0.59487	103.6
	10	crl	0.59978	104.236
	10	crg	0.612561	105.891
	10	crl	0.6194	106.777
	10	crl	0.69674	116.796
	10	crg	0.717147	119.439
	10	crl	0.748942	123.558
	10	crl	0.757136	124.62
	10	dup	0.782842	127.95
	10	dup	0.800673	130.259
	10	crg	0.819435	132.69
	10	dup	0.855494	137.361
	10	dup	0.868575	139.056
	10	crg	0.86909	139.122
	10	crl	0.884863	141.166
	10	crg	0.88858	141.647
	10	crl	0.892108	142.104
	10	crg	0.924186	146.259
	10	del	0.947792	149.317
	10	dup	0.950832	149.711
	10	dup	0.977159	153.122

MUTATIONS   (4)  dup, deln, crl, crg, wgd:	20	10	13	12	0
	eid	type	time
	14	crg	0.051355	5.00941
	14	dup	0.136495	8.20155
	14	dup	0.157721	8.99737
	14	dup	0.15942	9.06109
	14	crl	0.242545	12.1777
	14	crg	0.243249	12.2041
	14	crl	0.274699	13.3833
	14	crl	0.304788	14.5114
	14	del	0.375741	17.1716
	14	crl	0.455549	20.1638
	14	crg	0.525979	22.8044
	14	del	0.596978	25.4664
	14	crl	0.610245	25.9638
	14	crg	0.634503	26.8734
	14	del	0.671906	28.2757
	14	dup	0.725607	30.2891
	14	del	0.793908	32.8499
	14	crg	0.817924	33.7503
	14	crg	0.879294	36.0513
	6	crl	0.114167	53.7636
	6	dup	0.11535	53.9003
	6	del	0.141721	56.9462
	6	dup	0.145779	57.4149
	6	dup	0.156347	58.6355
	6	dup	0.168941	60.0902
	6	crg	0.186906	62.1653
	6	crg	0.222537	66.2808
	6	dup	0.25723	70.2879
	6	dup	0.344897	80.4138
	6	dup	0.411845	88.1465
	6	crg	0.444298	91.8949
	6	del	0.4781	95.7992
	6	dup	0.481671	96.2116
	6	del	0.512345	99.7546
	6	dup	0.542734	103.265
	6	crl	0.546968	103.754
	6	dup	0.586977	108.375
	6	crg	0.596859	109.516
	6	del	0.602409	110.157
	6	dup	0.606823	110.667
	6	crl	0.622417	112.468
	6	crl	0.696645	121.042
	6	crl	0.725609	124.387
	6	crg	0.756639	127.971
	6	dup	0.783672	131.094
	6	crl	0.813419	134.53
	6	crl	0.820708	135.372
	6	dup	0.847788	138.5
	6	dup	0.867863	140.818
	6	del	0.870061	141.072
	6	crl	0.887833	143.125
	6	dup	0.898339	144.338
	6	crg	0.921516	147.015
	6	del	0.931224	148.137
	6	dup	0.939146	149.052

MUTATIONS   (5)  dup, deln, crl, crg, wgd:	19	11	20	14	0
	eid	type	time
	16	dup	0.0157793	3.35009
	16	dup	0.0193903	3.80425
	16	dup	0.039087	6.28147
	16	crg	0.0454578	7.08272
	16	crg	0.0551565	8.30252
	16	crl	0.0679872	9.91622
	16	dup	0.147245	19.8844
	16	crl	0.172961	23.1187
	16	del	0.191533	25.4545
	16	crg	0.199647	26.475
	16	crl	0.200203	26.5448
	16	del	0.204471	27.0817
	16	dup	0.23421	30.8219
	16	crg	0.238108	31.3121
	16	crg	0.252257	33.0917
	16	crl	0.269072	35.2064
	16	crl	0.271887	35.5605
	16	dup	0.286119	37.3504
	16	dup	0.28623	37.3644
	16	crl	0.305121	39.7403
	16	crl	0.311489	40.5412
	16	dup	0.335864	43.6068
	16	crl	0.353741	45.8552
	16	dup	0.369358	47.8194
	16	crl	0.438144	56.4704
	16	dup	0.443567	57.1524
	16	dup	0.476793	61.3313
	16	crg	0.498785	64.0972
	16	del	0.522433	67.0713
	16	del	0.5273	67.6835
	16	crl	0.555602	71.243
	16	crg	0.585745	75.0341
	16	crl	0.596491	76.3855
	16	crg	0.596825	76.4276
	16	crl	0.596916	76.4391
	16	dup	0.62002	79.3448
	16	crg	0.633368	81.0236
	16	crl	0.676859	86.4934
	16	del	0.678201	86.6622
	16	crl	0.689854	88.1278
	16	del	0.724273	92.4565
	16	crl	0.737176	94.0794
	16	dup	0.742907	94.8001
	16	crl	0.751698	95.9057
	16	dup	0.787869	100.455
	16	dup	0.797169	101.625
	16	del	0.821139	104.639
	16	crg	0.88725	112.954
	16	dup	0.894442	113.858
	16	del	0.941312	119.753
