NODE TIMES:	nid	time
	1	121.463
	2	121.463
	3	121.463
	4	121.463
	5	121.463
	6	121.463
	7	121.463
	8	121.463
	9	121.463
	10	121.463
	11	0
	12	0
	13	114.05
	14	102.627
	15	45.4814
	16	39.3979
	17	26.917
	18	21.7087
	19	11.0146
	20	2.23809
	21	0.644716

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 13) 	1 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 15) 	6 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 16) 	7 (16 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 16) 	8 (16 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	4 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 15) 	5 (15 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 13) 	2 (13 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	3 (14 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 17) 	9 (17 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 17) 	10 (17 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	8	13	12	14	0
	eid	type	time
	15	del	0.189597	3.90209
	15	del	0.920516	10.317
	15	del	0.988642	10.9149
	14	dup	0.0109573	12.1436
	14	dup	0.0110729	12.1555
	14	dup	0.0139575	12.4527
	14	crl	0.125416	23.9369
	14	crg	0.151373	26.6114
	14	del	0.161221	27.6261
	14	crg	0.17931	29.4899
	14	crg	0.184488	30.0233
	14	crg	0.187266	30.3096
	14	crg	0.249171	36.688
	14	dup	0.252557	37.0369
	14	crl	0.256568	37.4501
	14	crg	0.257552	37.5515
	14	dup	0.268242	38.653
	14	dup	0.268734	38.7037
	14	del	0.300184	41.9442
	14	crl	0.397142	51.9343
	14	del	0.401611	52.3947
	14	crg	0.458093	58.2144
	14	crg	0.473277	59.7788
	14	del	0.485284	61.0159
	14	crl	0.504177	62.9627
	14	del	0.518761	64.4653
	14	crl	0.519714	64.5634
	14	del	0.522775	64.8789
	14	del	0.529649	65.5871
	14	crg	0.547724	67.4495
	14	crg	0.562671	68.9896
	14	crg	0.571853	69.9356
	14	dup	0.583487	71.1344
