NODE TIMES:	nid	time
	1	168.776
	2	168.776
	3	168.776
	4	168.776
	5	168.776
	6	168.776
	7	168.776
	8	168.776
	9	168.776
	10	168.776
	11	0
	12	0
	13	109.743
	14	94.8841
	15	57.0903
	16	28.2481
	17	22.5924
	18	21.0782
	19	14.9746
	20	4.09923
	21	2.16095

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 16) 	8 (16 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 15) 	5 (15 -> 13) 	2 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 15) 	6 (15 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 14) 	3 (14 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 18) 	12 (18 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 15) 	5 (15 -> 13) 	1 (13 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 16) 	7 (16 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 14) 	4 (14 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 18) 	11 (18 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	26	15	17	13	0
	eid	type	time
	19	crg	0.960085	2.0747
	16	del	0.209904	6.38202
	16	crl	0.272595	7.0638
	16	dup	0.287657	7.22761
	16	dup	0.656262	11.2363
	16	crg	0.685246	11.5515
	13	del	0.0270896	15.3342
	13	dup	0.231279	18.0445
	13	dup	0.262241	18.4555
	13	crg	0.290451	18.8299
	13	crl	0.514518	21.8041
	13	del	0.735975	24.7436
	8	crl	0.000198534	28.276
	8	crl	0.00127712	28.4276
	8	del	0.066535	37.5982
	8	del	0.0919653	41.1718
	8	crg	0.0957939	41.7099
	8	dup	0.100804	42.4139
	8	dup	0.115191	44.4357
	8	del	0.170889	52.2628
	8	del	0.178104	53.2767
	8	dup	0.179534	53.4777
	8	crg	0.188484	54.7354
	8	crl	0.201875	56.6172
	8	dup	0.204988	57.0547
	8	crl	0.214206	58.3501
	8	del	0.220158	59.1865
	8	dup	0.230744	60.6742
	8	crl	0.234835	61.249
	8	crl	0.257556	64.4419
	8	dup	0.263192	65.234
	8	dup	0.270839	66.3085
	8	dup	0.2935	69.493
	8	del	0.304317	71.0132
	8	del	0.328858	74.4619
	8	dup	0.393442	83.5378
	8	crl	0.418349	87.0379
	8	del	0.442426	90.4213
	8	dup	0.471847	94.5559
	8	crg	0.48921	96.9959
	8	dup	0.489395	97.0218
	8	dup	0.532586	103.091
	8	del	0.552645	105.91
	8	dup	0.56699	107.926
	8	crg	0.581755	110.001
	8	crl	0.592306	111.484
	8	crl	0.623106	115.812
	8	dup	0.634019	117.346
	8	crl	0.63481	117.457
	8	crg	0.63627	117.662
	8	del	0.643768	118.716
	8	crl	0.647206	119.199
	8	crg	0.657678	120.67
	8	crg	0.681723	124.049
	8	crg	0.709027	127.886
	8	dup	0.715906	128.853
	8	dup	0.717778	129.116
	8	crl	0.735595	131.62
	8	dup	0.735707	131.636
