NODE TIMES:	nid	time
	1	299.484
	2	299.484
	3	299.484
	4	299.484
	5	299.484
	6	299.484
	7	299.484
	8	299.484
	9	299.484
	10	299.484
	11	0
	12	0
	13	197.864
	14	131.55
	15	107.344
	16	37.3739
	17	4.84972
	18	2.41499
	19	1.55085
	20	1.31534
	21	0.32375

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	7 (16 -> 13) 	2 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	4 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	8 (16 -> 15) 	5 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 17) 	10 (17 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	3 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	7 (16 -> 13) 	1 (13 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 16) 	8 (16 -> 15) 	6 (15 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 17) 	9 (17 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	20	37	35	29	1
	eid	type	time
	14	crg	0.943321	2.36602
	12	crg	0.00121092	2.77472
	12	del	0.00552842	4.05732
	12	crl	0.00561435	4.08285
	12	del	0.00747501	4.63559
	12	crl	0.0148246	6.81893
	12	crl	0.0187923	7.9976
	12	dup	0.021134	8.69327
	12	dup	0.0213112	8.7459
	12	del	0.0441425	15.5284
	12	del	0.0563028	19.1408
	12	del	0.05689	19.3153
	12	dup	0.056956	19.3349
	12	crl	0.0624084	20.9546
	12	crg	0.0697077	23.123
	12	crl	0.107851	34.4542
	12	del	0.135504	42.669
	12	crg	0.139637	43.897
	12	del	0.164493	51.2809
	12	dup	0.176017	54.7043
	12	crg	0.176416	54.8229
	12	dup	0.18162	56.3687
	12	crl	0.193539	59.9095
	12	del	0.220346	67.8731
	12	crg	0.223021	68.6678
	12	dup	0.230741	70.9611
	12	crl	0.250866	76.9395
	12	crl	0.258709	79.2695
	12	crl	0.26244	80.378
	12	crl	0.268914	82.301
	12	del	0.281321	85.987
	12	dup	0.288506	88.1212
	12	crl	0.293318	89.5507
	12	del	0.305643	93.2121
	12	crl	0.311767	95.0316
	12	crg	0.314038	95.706
	12	dup	0.321114	97.8082
	12	crg	0.332179	101.095
	12	crl	0.349548	106.255
	12	wgd	0.358442	108.897
	12	crg	0.360215	109.424
	12	del	0.36215	109.999
	12	del	0.364066	110.568
	12	del	0.366626	111.329
	12	crg	0.375018	113.821
	12	del	0.377781	114.642
	12	crl	0.406526	123.181
	12	crl	0.4104	124.332
	12	del	0.410931	124.49
	12	crg	0.412059	124.825
	12	dup	0.418755	126.814
	12	crg	0.448171	135.553
	12	del	0.466213	140.913
	12	del	0.469963	142.027
	12	crl	0.487558	147.254
	12	del	0.494029	149.176
	12	crl	0.494909	149.438
	12	del	0.507994	153.324
	12	crl	0.52522	158.442
	12	crl	0.532536	160.615
