NODE TIMES:	nid	time
	1	153.435
	2	153.435
	3	153.435
	4	153.435
	5	153.435
	6	153.435
	7	153.435
	8	153.435
	9	153.435
	10	153.435
	11	0
	12	0
	13	147.636
	14	83.306
	15	47.5319
	16	42.0404
	17	18.9471
	18	5.45804
	19	2.3379
	20	1.44184
	21	0.461805

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 16) 	8 (16 -> 14) 	3 (14 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 15) 	5 (15 -> 13) 	1 (13 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 16) 	7 (16 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 16) 	8 (16 -> 14) 	4 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 15) 	5 (15 -> 13) 	2 (13 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 15) 	6 (15 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	19	18	17	26	0
	eid	type	time
	13	crl	0.0902807	3.83738
	13	dup	0.26149	6.68102
	13	crg	0.298528	7.29619
	13	crg	0.501224	10.6628
	13	crg	0.533623	11.2009
	13	dup	0.944065	18.018
	13	dup	0.950931	18.1321
	13	dup	0.986566	18.7239
	9	crg	0.0236491	22.1276
	9	dup	0.0307352	23.0806
	9	crg	0.0549474	26.3368
	9	crg	0.0789215	29.5611
	9	crl	0.169974	41.8065
	9	crl	0.171066	41.9533
	9	crl	0.177504	42.8192
	9	dup	0.190097	44.5128
	9	del	0.190944	44.6268
	9	crg	0.191655	44.7224
	9	crg	0.197362	45.49
	9	crg	0.222338	48.8488
	9	crl	0.233287	50.3215
	9	crl	0.257194	53.5366
	9	dup	0.277547	56.2739
	9	crg	0.368169	68.4614
	9	del	0.372577	69.0542
	9	del	0.377076	69.6593
	9	del	0.381987	70.3199
	9	crg	0.390419	71.4538
	9	del	0.393474	71.8647
	9	crg	0.397237	72.3708
	9	del	0.397654	72.4268
	9	crg	0.406414	73.6049
	9	del	0.414387	74.6773
	9	crg	0.416429	74.9518
	9	del	0.426369	76.2886
	9	crg	0.430775	76.8812
	9	crl	0.440063	78.1303
	9	dup	0.451248	79.6345
	9	crg	0.455729	80.2372
	9	dup	0.475167	82.8514
	9	crl	0.485045	84.1799
	9	crl	0.489161	84.7335
	9	dup	0.499368	86.1062
	9	crl	0.51187	87.7875
	9	del	0.524011	89.4203
	9	del	0.529306	90.1325
	9	crl	0.531905	90.482
	9	crg	0.534068	90.7729
	9	del	0.547033	92.5166
	9	del	0.55747	93.9201
	9	del	0.57532	96.3208
	9	del	0.588416	98.082
	9	dup	0.623971	102.864
	9	del	0.627353	103.319
	9	crl	0.630491	103.741
	9	del	0.642117	105.304
	9	crg	0.675542	109.8
	9	crl	0.68331	110.844
	9	crl	0.692851	112.127
	9	dup	0.698114	112.835
	9	dup	0.700104	113.103
	9	crl	0.716737	115.34
	9	crg	0.728539	116.927
	9	dup	0.751671	120.038
	9	crl	0.770447	122.563
	9	dup	0.771607	122.719
	9	del	0.775478	123.24
	9	crl	0.792293	125.501
	9	crg	0.806401	127.398
	9	dup	0.812229	128.182
	9	crg	0.827533	130.241
	9	del	0.843681	132.412
	9	crg	0.858471	134.401
	9	dup	0.871092	136.099
	9	crg	0.875371	136.674
	9	dup	0.922102	142.959
	9	crg	0.940129	145.383
	9	dup	0.951186	146.87
	9	crg	0.961401	148.244
	9	crg	0.997391	153.084

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	13	15	8	10	0
	eid	type	time
	14	crg	0.00187472	2.41233
	14	crg	0.00692501	2.61284
	14	crg	0.0822018	5.60151
	14	dup	0.0869663	5.79068
	14	crg	0.188057	9.80422
	14	crl	0.190828	9.91425
	14	del	0.24068	11.8935
	14	dup	0.279371	13.4296
	14	del	0.417843	18.9273
	14	crl	0.77038	32.9239
	14	del	0.899512	38.0508
	14	del	0.966361	40.7048
	8	crg	0.128025	47.3234
	8	dup	0.146613	48.0905
	8	del	0.153784	48.3864
	8	del	0.263623	52.919
	8	dup	0.432045	59.869
	8	dup	0.597023	66.6769
	8	del	0.639572	68.4327
	8	crl	0.726968	72.0392
	8	crl	0.904869	79.3804
	3	del	0.10814	90.8898
	3	del	0.126957	92.2094
	3	dup	0.131746	92.5453
	3	crl	0.170889	95.2903
	3	crg	0.174231	95.5248
	3	crg	0.200101	97.339
	3	crg	0.267737	102.082
	3	crg	0.313897	105.319
	3	dup	0.357349	108.367
	3	del	0.378081	109.821
	3	del	0.420075	112.766
	3	crl	0.427298	113.272
	3	dup	0.521108	119.851
	3	dup	0.542381	121.343
	3	crl	0.560487	122.613
	3	del	0.602682	125.572
	3	crl	0.689106	131.632
	3	dup	0.746364	135.648
	3	dup	0.822108	140.96
	3	dup	0.826561	141.272
	3	del	0.840034	142.217
	3	del	0.929203	148.47
	3	del	0.956724	150.4
	3	crg	0.981176	152.115
	3	dup	0.99153	152.841

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	17	18	13	14	1
	eid	type	time
	12	crl	0.0219364	6.38099
	12	crg	0.0547134	7.76004
	12	dup	0.0693368	8.3753
	12	crg	0.105458	9.89505
	12	del	0.110744	10.1175
	12	del	0.114337	10.2686
	12	del	0.123829	10.668
	12	crg	0.140436	11.3667
	12	dup	0.292888	17.781
	12	crg	0.301778	18.155
	12	crg	0.350239	20.194
	12	crg	0.356249	20.4468
	12	crl	0.384579	21.6388
	12	crl	0.399861	22.2817
	12	dup	0.474976	25.4421
	12	dup	0.556417	28.8686
	12	del	0.560637	29.0462
	12	del	0.632253	32.0594
	12	del	0.730581	36.1964
	12	dup	0.734402	36.3571
	12	crg	0.736251	36.435
	12	del	0.749599	36.9966
	12	crg	0.797678	39.0194
	12	crl	0.826061	40.2136
	12	del	0.931064	44.6315
	5	crl	0.00836056	48.3688
	5	crg	0.00930051	48.4629
	5	del	0.0400304	51.5391
	5	del	0.0587314	53.4111
	5	del	0.170133	64.5629
	5	crl	0.232177	70.7737
	5	dup	0.261654	73.7245
	5	crg	0.299645	77.5275
	5	del	0.310534	78.6176
	5	crl	0.347087	82.2767
	5	crl	0.365317	84.1016
	5	dup	0.374054	84.9762
	5	dup	0.376564	85.2274
	5	dup	0.441841	91.7619
	5	dup	0.441932	91.771
	5	dup	0.465282	94.1085
	5	dup	0.649245	112.524
	5	crl	0.657217	113.322
	5	dup	0.659287	113.529
	5	crl	0.66185	113.786
