NODE TIMES:	nid	time
	1	230.484
	2	230.484
	3	230.484
	4	230.484
	5	230.484
	6	230.484
	7	230.484
	8	230.484
	9	230.484
	10	230.484
	11	0
	12	0
	13	199.291
	14	149.377
	15	41.8575
	16	39.7989
	17	17.1627
	18	4.90548
	19	3.0232
	20	0.628411
	21	0.288522

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 14) 	3 (14 -> 13) 	1 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 14) 	4 (14 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 14) 	3 (14 -> 13) 	2 (13 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 16) 	8 (16 -> 15) 	5 (15 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 16) 	8 (16 -> 15) 	6 (15 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 16) 	7 (16 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	25	29	26	17	1
	eid	type	time
	15	del	0.132054	2.81183
	15	crg	0.309874	5.75197
	15	crl	0.340644	6.26071
	15	del	0.397613	7.20267
	15	del	0.480979	8.58106
	15	del	0.782358	13.5641
	15	dup	0.816163	14.1231
	9	del	0.0536265	24.2529
	9	del	0.0759233	27.2008
	9	dup	0.103329	30.8243
	9	crl	0.139849	35.6527
	9	crl	0.145718	36.4287
	9	crg	0.152545	37.3313
	9	crl	0.178195	40.7226
	9	dup	0.201985	43.868
	9	crl	0.22241	46.5684
	9	crl	0.247937	49.9435
	9	dup	0.273138	53.2754
	9	crl	0.330545	60.8654
	9	del	0.354333	64.0105
	9	crl	0.354928	64.0892
	9	crl	0.364994	65.42
	9	dup	0.3895	68.6601
	9	del	0.400141	70.067
	9	dup	0.401825	70.2897
	9	crl	0.462996	78.3773
	9	crg	0.51624	85.4169
	9	del	0.52202	86.1811
	9	crl	0.541364	88.7387
	9	dup	0.558026	90.9417
	9	del	0.57737	93.4992
	9	dup	0.578755	93.6822
	9	crg	0.591086	95.3126
	9	crl	0.641296	101.951
	9	crl	0.667656	105.436
	9	wgd	0.675578	106.484
	9	crl	0.679058	106.944
	9	del	0.679526	107.006
	9	del	0.688115	108.141
	9	crl	0.770485	119.032
	9	dup	0.789073	121.489
	9	dup	0.828623	126.718
	9	crl	0.830978	127.03
	9	crl	0.854608	130.154
	9	del	0.886997	134.436
	9	crg	0.910131	137.495
	9	crg	0.932736	140.484
	9	del	0.945466	142.167
	9	crl	0.946765	142.338
	9	crl	0.949518	142.702
	9	crg	0.953524	143.232
	9	dup	0.959356	144.003
	9	del	0.975636	146.156
	9	crl	0.987512	147.726
	3	crl	0.0371217	151.23
	3	crl	0.0554406	152.144
	3	dup	0.0629693	152.52
	3	dup	0.0862921	153.684
	3	del	0.0957411	154.156
	3	dup	0.117755	155.254
	3	dup	0.144396	156.584
	3	dup	0.167478	157.736
	3	crg	0.222125	160.464
	3	crl	0.272394	162.973
	3	crl	0.314582	165.079
	3	dup	0.392222	168.954
	3	crg	0.393651	169.026
	3	dup	0.492512	173.96
	3	dup	0.547628	176.711
	3	crg	0.552054	176.932
	3	del	0.560251	177.341
	3	del	0.602803	179.465
	3	dup	0.663605	182.5
	3	del	0.734153	186.021
	3	crg	0.781067	188.363
	3	del	0.794611	189.039
	3	dup	0.916057	195.101
	3	crg	0.924836	195.539
	3	dup	0.997696	199.176
	1	del	0.00208732	199.356
	1	dup	0.0275907	200.152
	1	del	0.0414994	200.586
	1	crg	0.143773	203.776
	1	del	0.181073	204.939
	1	dup	0.185203	205.068
	1	del	0.20959	205.829
	1	del	0.221179	206.19
	1	dup	0.252893	207.18
	1	crg	0.304094	208.777
	1	crl	0.347283	210.124
	1	crg	0.387587	211.381
	1	crg	0.441582	213.065
	1	del	0.47984	214.259
	1	del	0.64449	219.395
	1	crg	0.739275	222.351
	1	del	0.782304	223.693
	1	crl	0.870149	226.434
	1	del	0.962734	229.322

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	25	25	29	16	1
	eid	type	time
	15	del	0.132054	2.81183
	15	crg	0.309874	5.75197
	15	crl	0.340644	6.26071
	15	del	0.397613	7.20267
	15	del	0.480979	8.58106
	15	del	0.782358	13.5641
	15	dup	0.816163	14.1231
	9	del	0.0536265	24.2529
	9	del	0.0759233	27.2008
	9	dup	0.103329	30.8243
	9	crl	0.139849	35.6527
	9	crl	0.145718	36.4287
	9	crg	0.152545	37.3313
	9	crl	0.178195	40.7226
	9	dup	0.201985	43.868
	9	crl	0.22241	46.5684
	9	crl	0.247937	49.9435
	9	dup	0.273138	53.2754
	9	crl	0.330545	60.8654
	9	del	0.354333	64.0105
	9	crl	0.354928	64.0892
	9	crl	0.364994	65.42
	9	dup	0.3895	68.6601
	9	del	0.400141	70.067
	9	dup	0.401825	70.2897
	9	crl	0.462996	78.3773
	9	crg	0.51624	85.4169
	9	del	0.52202	86.1811
	9	crl	0.541364	88.7387
	9	dup	0.558026	90.9417
	9	del	0.57737	93.4992
	9	dup	0.578755	93.6822
	9	crg	0.591086	95.3126
	9	crl	0.641296	101.951
	9	crl	0.667656	105.436
	9	wgd	0.675578	106.484
	9	crl	0.679058	106.944
	9	del	0.679526	107.006
	9	del	0.688115	108.141
	9	crl	0.770485	119.032
	9	dup	0.789073	121.489
	9	dup	0.828623	126.718
	9	crl	0.830978	127.03
	9	crl	0.854608	130.154
	9	del	0.886997	134.436
	9	crg	0.910131	137.495
	9	crg	0.932736	140.484
	9	del	0.945466	142.167
	9	crl	0.946765	142.338
	9	crl	0.949518	142.702
	9	crg	0.953524	143.232
	9	dup	0.959356	144.003
	9	del	0.975636	146.156
	9	crl	0.987512	147.726
	4	dup	0.00370897	149.678
	4	dup	0.0135024	150.472
	4	dup	0.0228167	151.227
	4	dup	0.0533869	153.707
	4	crg	0.0539718	153.754
	4	crg	0.074905	155.452
	4	crg	0.104281	157.835
	4	dup	0.148403	161.413
	4	del	0.163551	162.642
	4	crg	0.171579	163.293
	4	dup	0.172631	163.378
	4	del	0.264108	170.798
	4	dup	0.295763	173.365
	4	del	0.304837	174.101
	4	crl	0.31408	174.851
	4	crg	0.32101	175.413
	4	crl	0.374625	179.762
	4	del	0.431753	184.395
	4	crl	0.451235	185.975
	4	crl	0.504142	190.266
	4	del	0.526917	192.114
	4	crl	0.539203	193.11
	4	dup	0.602811	198.269
	4	del	0.647804	201.918
	4	crl	0.650902	202.17
	4	dup	0.661962	203.067
	4	del	0.666303	203.419
	4	crg	0.683581	204.82
	4	del	0.712848	207.194
	4	crg	0.741393	209.509
	4	dup	0.761135	211.11
	4	crg	0.774714	212.212
	4	crl	0.782195	212.818
	4	crl	0.783819	212.95
	4	del	0.793986	213.775
	4	dup	0.860201	219.145
	4	del	0.881295	220.856
	4	crg	0.919966	223.993
	4	dup	0.960333	227.267
	4	crl	0.969286	227.993
	4	dup	0.969456	228.007
	4	dup	0.97127	228.154

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	25	21	25	14	1
	eid	type	time
	15	del	0.132054	2.81183
	15	crg	0.309874	5.75197
	15	crl	0.340644	6.26071
	15	del	0.397613	7.20267
	15	del	0.480979	8.58106
	15	del	0.782358	13.5641
	15	dup	0.816163	14.1231
	9	del	0.0536265	24.2529
	9	del	0.0759233	27.2008
	9	dup	0.103329	30.8243
	9	crl	0.139849	35.6527
	9	crl	0.145718	36.4287
	9	crg	0.152545	37.3313
	9	crl	0.178195	40.7226
	9	dup	0.201985	43.868
	9	crl	0.22241	46.5684
	9	crl	0.247937	49.9435
	9	dup	0.273138	53.2754
	9	crl	0.330545	60.8654
	9	del	0.354333	64.0105
	9	crl	0.354928	64.0892
	9	crl	0.364994	65.42
	9	dup	0.3895	68.6601
	9	del	0.400141	70.067
	9	dup	0.401825	70.2897
	9	crl	0.462996	78.3773
	9	crg	0.51624	85.4169
	9	del	0.52202	86.1811
	9	crl	0.541364	88.7387
	9	dup	0.558026	90.9417
	9	del	0.57737	93.4992
	9	dup	0.578755	93.6822
	9	crg	0.591086	95.3126
	9	crl	0.641296	101.951
	9	crl	0.667656	105.436
	9	wgd	0.675578	106.484
	9	crl	0.679058	106.944
	9	del	0.679526	107.006
	9	del	0.688115	108.141
	9	crl	0.770485	119.032
	9	dup	0.789073	121.489
	9	dup	0.828623	126.718
	9	crl	0.830978	127.03
	9	crl	0.854608	130.154
	9	del	0.886997	134.436
	9	crg	0.910131	137.495
	9	crg	0.932736	140.484
	9	del	0.945466	142.167
	9	crl	0.946765	142.338
	9	crl	0.949518	142.702
	9	crg	0.953524	143.232
	9	dup	0.959356	144.003
	9	del	0.975636	146.156
	9	crl	0.987512	147.726
	3	crl	0.0371217	151.23
	3	crl	0.0554406	152.144
	3	dup	0.0629693	152.52
	3	dup	0.0862921	153.684
	3	del	0.0957411	154.156
	3	dup	0.117755	155.254
	3	dup	0.144396	156.584
	3	dup	0.167478	157.736
	3	crg	0.222125	160.464
	3	crl	0.272394	162.973
	3	crl	0.314582	165.079
	3	dup	0.392222	168.954
	3	crg	0.393651	169.026
	3	dup	0.492512	173.96
	3	dup	0.547628	176.711
	3	crg	0.552054	176.932
	3	del	0.560251	177.341
	3	del	0.602803	179.465
	3	dup	0.663605	182.5
	3	del	0.734153	186.021
	3	crg	0.781067	188.363
	3	del	0.794611	189.039
	3	dup	0.916057	195.101
	3	crg	0.924836	195.539
	3	dup	0.997696	199.176
	2	dup	0.229955	206.464
	2	dup	0.272662	207.796
	2	crl	0.743589	222.486
	2	dup	0.819996	224.869
	2	crg	0.847471	225.726
	2	crg	0.876392	226.628
	2	del	0.962245	229.306

MUTATIONS   (4)  dup, deln, crl, crg, wgd:	29	18	26	20	0
	eid	type	time
	18	del	0.983397	4.82883
	12	del	0.0121424	7.64455
	12	del	0.0131648	7.87519
	12	dup	0.0228391	10.0575
	12	dup	0.0236376	10.2376
	12	del	0.0365436	13.1489
	12	crg	0.0413737	14.2385
	12	crl	0.0695945	20.6045
	12	del	0.0798754	22.9237
	12	dup	0.084549	23.9779
	12	dup	0.0914432	25.5331
	12	dup	0.100779	27.6391
	12	dup	0.128152	33.8138
	12	crl	0.160203	41.0439
	12	crg	0.173027	43.9367
	12	crg	0.178756	45.2291
	12	dup	0.20817	51.8642
	12	dup	0.223251	55.2662
	12	crl	0.227095	56.1333
	12	dup	0.228104	56.3609
	12	dup	0.249475	61.1817
	12	del	0.251476	61.6331
	12	dup	0.263184	64.2743
	12	crg	0.263389	64.3205
	12	dup	0.291112	70.5741
	12	crg	0.296664	71.8266
	12	del	0.313738	75.678
	12	crg	0.325388	78.3061
	12	crl	0.356397	85.3009
	12	crg	0.35795	85.6514
	12	dup	0.360088	86.1336
	12	del	0.370146	88.4025
	12	dup	0.377635	90.0917
	12	crl	0.379848	90.591
	12	del	0.380852	90.8175
	12	crg	0.389081	92.6738
	12	crl	0.398067	94.7009
	12	crg	0.401803	95.5435
	12	dup	0.403871	96.0102
	12	crl	0.412025	97.8495
	12	crg	0.417425	99.0675
	12	del	0.436752	103.427
	12	crl	0.461154	108.932
	12	crl	0.463961	109.565
	12	crg	0.46481	109.757
	12	crl	0.465256	109.857
	12	del	0.465448	109.901
	12	dup	0.466989	110.248
	12	dup	0.468134	110.507
	12	crl	0.470258	110.986
	12	crl	0.486001	114.537
	12	dup	0.490548	115.563
	12	del	0.507726	119.438
	12	dup	0.508583	119.631
	12	crl	0.511484	120.285
	12	crl	0.517383	121.616
	12	crg	0.523987	123.106
	12	crg	0.532131	124.943
	12	del	0.547266	128.357
	12	dup	0.555888	130.302
	12	del	0.586143	137.127
	12	dup	0.58829	137.611
	12	crl	0.623934	145.652
	12	crl	0.624501	145.78
	12	crg	0.635542	148.27
	12	dup	0.651076	151.774
	12	crg	0.653369	152.291
	12	crg	0.685937	159.638
	12	crg	0.704456	163.816
	12	dup	0.724375	168.309
	12	dup	0.751236	174.368
	12	del	0.757791	175.847
	12	del	0.769562	178.502
	12	del	0.769576	178.505
	12	crl	0.776937	180.166
	12	dup	0.811391	187.938
	12	dup	0.817413	189.296
	12	crl	0.83982	194.351
	12	crl	0.846822	195.93
	12	crg	0.884509	204.432
	12	del	0.895343	206.876
	12	crl	0.899704	207.859
	12	dup	0.905007	209.056
	12	crl	0.908646	209.877
	12	crl	0.911243	210.462
	12	dup	0.930588	214.826
	12	crg	0.932724	215.308
	12	crg	0.943489	217.736
	12	crl	0.949712	219.14
	12	dup	0.954205	220.154
	12	crl	0.959505	221.349
	12	crl	0.982047	226.434
	12	crl	0.987068	227.567

MUTATIONS   (5)  dup, deln, crl, crg, wgd:	28	22	17	23	1
	eid	type	time
	15	del	0.132054	2.81183
	15	crg	0.309874	5.75197
	15	crl	0.340644	6.26071
	15	del	0.397613	7.20267
	15	del	0.480979	8.58106
	15	del	0.782358	13.5641
	15	dup	0.816163	14.1231
	10	crg	0.209265	21.8997
	10	del	0.364802	25.4204
	10	dup	0.366502	25.4589
	10	crg	0.494042	28.346
	10	del	0.494535	28.3571
	10	crg	0.511407	28.739
	10	dup	0.538518	29.3527
	10	crl	0.747554	34.0845
	10	del	0.770083	34.5945
	10	crg	0.775128	34.7087
	10	dup	0.909549	37.7515
	10	crl	0.952507	38.7239
	8	dup	0.981303	41.819
	5	dup	0.00777043	43.3232
	5	dup	0.0589411	52.9753
	5	dup	0.0625533	53.6567
	5	dup	0.0765996	56.3062
	5	del	0.122417	64.9486
