NODE TIMES:	nid	time
	1	130.697
	2	130.697
	3	130.697
	4	130.697
	5	130.697
	6	130.697
	7	130.697
	8	130.697
	9	130.697
	10	130.697
	11	0
	12	0
	13	76.8402
	14	68.9901
	15	62.4157
	16	43.2664
	17	11.2892
	18	7.46564
	19	2.57161
	20	1.31158
	21	0.968076

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	7 (16 -> 14) 	3 (14 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	7 (16 -> 14) 	4 (14 -> 13) 	1 (13 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 15) 	5 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	8 (16 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	7 (16 -> 14) 	4 (14 -> 13) 	2 (13 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 15) 	6 (15 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	12	18	13	17	0
	eid	type	time
	19	crl	0.839871	0.813059
	18	del	0.128945	1.01237
	18	del	0.9872	1.30718
	15	dup	0.309171	1.70114
	14	del	0.598954	5.50291
	14	del	0.91177	7.03384
	12	del	0.0795787	10.3146
	12	dup	0.206042	14.8421
	12	crl	0.43283	22.9613
	12	dup	0.497754	25.2856
	12	crl	0.551768	27.2193
	12	crg	0.603876	29.0848
	12	del	0.701663	32.5857
	12	crg	0.747763	34.2361
	12	del	0.766158	34.8947
	12	del	0.967665	42.1088
	7	dup	0.218108	48.8769
	7	crg	0.248339	49.6546
	7	crg	0.293599	50.8188
	7	crg	0.382493	53.1055
	7	dup	0.5106	56.4009
	7	dup	0.623246	59.2986
	7	dup	0.633305	59.5574
	7	crl	0.74668	62.4738
	7	del	0.83421	64.7254
	7	crg	0.86152	65.4279
	3	del	0.0662527	73.0784
	3	dup	0.0671128	73.1314
	3	dup	0.111889	75.8944
	3	del	0.151655	78.3482
	3	del	0.154888	78.5478
	3	crg	0.195831	81.0742
	3	crl	0.200971	81.3914
	3	del	0.244019	84.0477
	3	crg	0.249553	84.3892
	3	crl	0.251448	84.5061
	3	crg	0.307476	87.9634
	3	crl	0.393231	93.2551
	3	del	0.399142	93.6199
	3	dup	0.487538	99.0745
	3	crg	0.49313	99.4195
	3	crl	0.497235	99.6728
	3	crg	0.511079	100.527
	3	crg	0.521246	101.154
	3	crl	0.52647	101.477
	3	crg	0.547622	102.782
	3	crl	0.558204	103.435
	3	crl	0.629102	107.81
	3	crg	0.655702	109.451
	3	crg	0.70611	112.562
	3	crl	0.725292	113.745
	3	del	0.753186	115.467
	3	crg	0.833427	120.418
	3	del	0.83898	120.761
	3	crl	0.84271	120.991
	3	del	0.881737	123.399
	3	del	0.891021	123.972
	3	crg	0.898635	124.442
	3	dup	0.931308	126.458
	3	dup	0.974423	129.118

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	15	17	13	12	0
	eid	type	time
	19	crl	0.839871	0.813059
