NODE TIMES:	nid	time
	1	64.0176
	2	64.0176
	3	64.0176
	4	64.0176
	5	64.0176
	6	64.0176
	7	64.0176
	8	64.0176
	9	64.0176
	10	64.0176
	11	0
	12	0
	13	53.8365
	14	13.3256
	15	8.998
	16	8.22293
	17	6.63056
	18	2.55035
	19	2.4863
	20	1.76184
	21	1.03657

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	11 (18 -> 17) 	10 (17 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	6 (15 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	8 (16 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	5 (15 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	7 (16 -> 14) 	4 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	11 (18 -> 17) 	9 (17 -> 13) 	2 (13 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	11 (18 -> 17) 	9 (17 -> 13) 	1 (13 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	7 (16 -> 14) 	3 (14 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	5	7	5	8	0
	eid	type	time
	19	crg	0.266886	0.276645
	18	crg	0.546292	1.82854
	10	crg	0.0441433	9.16382
	10	crl	0.0675029	10.5044
	10	del	0.0706823	10.6868
	10	del	0.103161	12.5507
	10	dup	0.154176	15.4782
	10	dup	0.200507	18.1371
	10	crl	0.204167	18.3471
	10	crg	0.23482	20.1062
	10	del	0.235374	20.138
	10	del	0.383811	28.6563
	10	del	0.400336	29.6046
	10	crg	0.451161	32.5213
	10	crg	0.469187	33.5558
	10	crl	0.487798	34.6238
	10	dup	0.653194	44.1154
	10	dup	0.695805	46.5607
	10	crl	0.713006	47.5478
	10	del	0.797292	52.3848
	10	dup	0.822514	53.8322
	10	crl	0.8763	56.9188
	10	crg	0.884125	57.3679
	10	crg	0.930537	60.0313
	10	del	0.969645	62.2756

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	7	4	3	4	0
	eid	type	time
	19	crg	0.266886	0.276645
	16	crl	0.000947608	1.82084
	16	dup	0.134343	10.1255
	16	dup	0.146018	10.8523
	16	dup	0.244502	16.9835
	16	dup	0.266032	18.3239
	16	dup	0.272613	18.7336
	16	crl	0.312609	21.2235
	16	del	0.394448	26.3185
	16	del	0.421781	28.0201
	16	crl	0.46586	30.7643
	16	del	0.561564	36.7224
	16	crg	0.678782	44.0199
	16	crg	0.700247	45.3563
	16	crg	0.709643	45.9412
	16	dup	0.770362	49.7213
	16	del	0.927862	59.5266
	16	dup	0.995299	63.7249

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	4	9	6	13	0
	eid	type	time
	19	crg	0.266886	0.276645
	18	crg	0.546292	1.82854
	13	crg	0.284343	4.33785
	13	crl	0.314592	4.53483
	13	crl	0.948273	8.66117
	6	crg	0.0129513	9.71057
	6	crg	0.0798099	13.3891
	6	dup	0.124998	15.8753
	6	dup	0.183508	19.0945
	6	del	0.226176	21.4421
	6	crg	0.292519	25.0923
	6	crl	0.324914	26.8746
	6	del	0.339676	27.6869
	6	crg	0.346393	28.0564
	6	del	0.350043	28.2572
	6	del	0.369788	29.3436
	6	del	0.374118	29.5818
	6	crg	0.386351	30.2549
	6	crg	0.54214	38.8263
	6	crg	0.550275	39.2739
	6	crl	0.550844	39.3052
	6	crg	0.566934	40.1905
	6	crl	0.610445	42.5844
	6	crl	0.714513	48.3102
	6	del	0.727983	49.0513
	6	del	0.779113	51.8645
	6	del	0.817552	53.9794
	6	dup	0.847946	55.6516
	6	crg	0.896817	58.3405
	6	crg	0.909861	59.0582
	6	dup	0.91441	59.3085
	6	del	0.948837	61.2026

MUTATIONS   (4)  dup, deln, crl, crg, wgd:	4	5	10	5	0
	eid	type	time
	19	crg	0.266886	0.276645
	18	crg	0.546292	1.82854
	12	crl	0.125108	3.26004
	12	crl	0.241397	3.91969
	12	del	0.832959	7.27538
	8	del	0.0569543	11.4007
	8	del	0.162563	17.2931
	8	dup	0.180331	18.2844
	8	crl	0.222828	20.6556
	8	crl	0.258669	22.6553
	8	crl	0.301123	25.024
	8	dup	0.360848	28.3563
	8	dup	0.400288	30.5568
	8	crl	0.515534	36.987
	8	crg	0.587766	41.0172
	8	crl	0.61273	42.41
	8	dup	0.636441	43.733
	8	del	0.748939	50.0097
	8	crl	0.790338	52.3196
	8	crg	0.856669	56.0205
	8	crl	0.875841	57.0902
	8	crl	0.890223	57.8926
	8	crg	0.897436	58.295
	8	del	0.949564	61.2035

MUTATIONS   (5)  dup, deln, crl, crg, wgd:	2	5	5	9	0
	eid	type	time
	19	crg	0.266886	0.276645
	18	crg	0.546292	1.82854
	13	crg	0.284343	4.33785
	13	crl	0.314592	4.53483
	13	crl	0.948273	8.66117
	5	crg	0.0382472	11.1023
	5	crl	0.0956194	14.2589
	5	del	0.101454	14.58
	5	crg	0.108925	14.991
	5	del	0.110988	15.1045
	5	dup	0.117813	15.48
	5	del	0.198054	19.8948
	5	del	0.30278	25.6568
	5	crg	0.388919	30.3962
	5	crl	0.392689	30.6036
	5	crg	0.717968	48.5003
	5	dup	0.728438	49.0764
	5	crg	0.761868	50.9157
	5	crg	0.820957	54.1667
	5	del	0.879937	57.4118
	5	crl	0.956257	61.6108

MUTATIONS   (6)  dup, deln, crl, crg, wgd:	3	2	9	9	0
	eid	type	time
	19	crg	0.266886	0.276645
	18	crg	0.546292	1.82854
	12	crl	0.125108	3.26004
	12	crl	0.241397	3.91969
	12	del	0.832959	7.27538
	7	crl	0.0977847	8.72189
	7	dup	0.403333	10.281
	7	dup	0.430798	10.4211
	7	crg	0.860595	12.6142
	4	crg	0.0548455	16.1058
	4	crg	0.189306	22.9219
	4	crg	0.296471	28.3543
	4	crl	0.358357	31.4914
	4	crl	0.414411	34.3329
	4	crl	0.441654	35.7139
	4	crg	0.49505	38.4207
	4	crg	0.579694	42.7114
	4	crl	0.609427	44.2187
	4	crg	0.609938	44.2446
	4	dup	0.71171	49.4036
	4	del	0.760823	51.8932
	4	crl	0.825781	55.1861
	4	crl	0.906599	59.2829

MUTATIONS   (7)  dup, deln, crl, crg, wgd:	5	6	8	1	0
	eid	type	time
	19	crg	0.266886	0.276645
	15	del	0.12306	9.42304
	15	crl	0.283567	19.4155
	15	dup	0.309162	21.0089
	15	del	0.311741	21.1695
	15	crl	0.333838	22.5452
	15	del	0.368424	24.6984
	15	crl	0.371034	24.8609
	15	crl	0.45245	29.9295
	15	del	0.519568	34.1079
	15	crl	0.525157	34.4559
	15	dup	0.553622	36.228
	15	del	0.617084	40.1789
	15	dup	0.621294	40.4409
	15	del	0.758904	49.008
	15	dup	0.762069	49.205
	15	dup	0.81842	52.7132
	15	crl	0.944225	60.5453
	15	crl	0.97055	62.1841
	15	crl	0.988421	63.2968

MUTATIONS   (8)  dup, deln, crl, crg, wgd:	6	7	4	6	0
	eid	type	time
	19	crg	0.266886	0.276645
	18	crg	0.546292	1.82854
	9	dup	0.139462	13.214
	9	dup	0.213124	16.6913
	9	del	0.241542	18.0328
	9	crl	0.267773	19.271
	9	dup	0.300238	20.8036
	9	dup	0.443934	27.5869
	9	del	0.52604	31.4628
	9	dup	0.533197	31.8006
	9	crl	0.58774	34.3754
	9	crg	0.591231	34.5402
	9	del	0.598389	34.8781
	9	crg	0.614286	35.6285
	9	dup	0.795598	44.1875
	9	crg	0.839292	46.2501
	9	del	0.858101	47.138
	9	crl	0.951418	51.5432
	2	crl	0.216994	56.0457
	2	del	0.253385	56.4163
	2	crg	0.864075	62.6337
	2	del	0.923502	63.2388
	2	del	0.936709	63.3732

MUTATIONS   (9)  dup, deln, crl, crg, wgd:	8	5	4	5	0
	eid	type	time
	19	crg	0.266886	0.276645
	18	crg	0.546292	1.82854
	9	dup	0.139462	13.214
	9	dup	0.213124	16.6913
	9	del	0.241542	18.0328
	9	crl	0.267773	19.271
	9	dup	0.300238	20.8036
	9	dup	0.443934	27.5869
	9	del	0.52604	31.4628
	9	dup	0.533197	31.8006
	9	crl	0.58774	34.3754
	9	crg	0.591231	34.5402
	9	del	0.598389	34.8781
	9	crg	0.614286	35.6285
	9	dup	0.795598	44.1875
	9	crg	0.839292	46.2501
	9	del	0.858101	47.138
	9	crl	0.951418	51.5432
	1	del	0.0146884	53.9861
	1	crl	0.515566	59.0855
	1	dup	0.53998	59.3341
	1	dup	0.71942	61.161

