NODE TIMES:	nid	time
	1	128.928
	2	128.928
	3	128.928
	4	128.928
	5	128.928
	6	128.928
	7	128.928
	8	128.928
	9	128.928
	10	128.928
	11	0
	12	0
	13	84.7985
	14	83.3893
	15	46.1165
	16	24.0239
	17	20.141
	18	6.75443
	19	3.03819
	20	2.59895
	21	0.551413

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 17) 	9 (17 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 17) 	10 (17 -> 13) 	1 (13 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 14) 	3 (14 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 16) 	8 (16 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 16) 	7 (16 -> 15) 	5 (15 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 17) 	10 (17 -> 13) 	2 (13 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 14) 	4 (14 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 16) 	7 (16 -> 15) 	6 (15 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	17	11	14	12	0
	eid	type	time
	18	crl	0.219456	1.09715
	14	crl	0.00338769	3.09613
	14	del	0.108588	4.89535
	14	crl	0.150885	5.61876
	14	dup	0.756423	15.9752
	14	del	0.836452	17.3439
	14	dup	0.981769	19.8292
	9	del	0.00128547	20.2808
	9	crg	0.0128704	21.5411
	9	crg	0.0233367	22.6797
	9	dup	0.0817341	29.0326
	9	crl	0.0967007	30.6608
	9	del	0.108824	31.9796
	9	crg	0.120755	33.2776
	9	crg	0.122629	33.4815
	9	dup	0.187829	40.5743
	9	dup	0.247174	47.0303
	9	dup	0.249032	47.2324
	9	del	0.271079	49.6308
	9	dup	0.27957	50.5546
	9	dup	0.318766	54.8186
	9	dup	0.324265	55.4169
	9	dup	0.333004	56.3675
	9	crl	0.346458	57.8312
	9	del	0.353054	58.5487
	9	crg	0.353255	58.5706
	9	crl	0.374688	60.9022
	9	crl	0.386026	62.1357
	9	del	0.450136	69.11
	9	crl	0.459314	70.1084
	9	dup	0.469257	71.1901
	9	crg	0.487488	73.1734
	9	del	0.541744	79.0758
	9	dup	0.552202	80.2135
	9	crl	0.556814	80.7151
	9	crl	0.592624	84.6109
	9	dup	0.610631	86.5698
	9	crg	0.645772	90.3926
	9	dup	0.655046	91.4015
	9	crg	0.669478	92.9716
	9	dup	0.785898	105.637
	9	crg	0.803863	107.591
	9	crl	0.823389	109.715
	9	del	0.860726	113.777
	9	crg	0.860815	113.787
	9	del	0.881989	116.09
	9	dup	0.884141	116.324
	9	crl	0.891498	117.124
	9	crl	0.912394	119.398
	9	crg	0.915308	119.715
	9	del	0.917813	119.987
	9	crg	0.931504	121.477
	9	dup	0.964896	125.109
	9	crl	0.997664	128.674

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	18	11	12	14	0
	eid	type	time
