NODE TIMES:	nid	time
	1	169.108
	2	169.108
	3	169.108
	4	169.108
	5	169.108
	6	169.108
	7	169.108
	8	169.108
	9	169.108
	10	169.108
	11	0
	12	0
	13	68.8635
	14	29.7029
	15	28.0043
	16	26.916
	17	4.11866
	18	3.80319
	19	3.45689
	20	1.90429
	21	1.03889

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 16) 	8 (16 -> 13) 	2 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	11 (18 -> 15) 	5 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	12 (18 -> 17) 	10 (17 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	12 (18 -> 17) 	9 (17 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 16) 	8 (16 -> 13) 	1 (13 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	3 (14 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 18) 	11 (18 -> 15) 	6 (15 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 14) 	4 (14 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 16) 	7 (16 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	13	12	19	20	0
	eid	type	time
	15	crg	0.147385	5.59064
	15	crg	0.189706	6.64917
	15	del	0.300621	9.42333
	15	crl	0.509369	14.6445
	15	del	0.552398	15.7207
	15	crl	0.742295	20.4704
	15	crg	0.745783	20.5576
	15	dup	0.890897	24.1872
	15	del	0.951824	25.7111
	8	dup	0.0362176	28.4353
	8	crg	0.150288	33.2202
	8	crg	0.170606	34.0725
	8	del	0.212567	35.8327
	8	crl	0.288158	39.0035
	8	dup	0.325542	40.5717
	8	crg	0.335583	40.9929
	8	crg	0.409021	44.0734
	8	dup	0.653859	54.3437
	8	crl	0.720587	57.1428
	8	crg	0.800878	60.5108
	8	dup	0.931384	65.9852
	2	crl	0.0188707	70.7551
	2	crl	0.0197731	70.8456
	2	dup	0.0323695	72.1083
	2	crg	0.0462297	73.4977
	2	del	0.0772217	76.6045
	2	crg	0.0874648	77.6313
	2	crl	0.136931	82.5901
	2	crl	0.167249	85.6292
	2	dup	0.177908	86.6977
	2	crl	0.187508	87.6601
	2	crg	0.225757	91.4944
	2	del	0.270238	95.9534
	2	crg	0.270861	96.0157
	2	crl	0.324641	101.407
