NODE TIMES:	nid	time
	1	208.635
	2	208.635
	3	208.635
	4	208.635
	5	208.635
	6	208.635
	7	208.635
	8	208.635
	9	208.635
	10	208.635
	11	0
	12	0
	13	192.345
	14	163.66
	15	94.3609
	16	45.8613
	17	35.3021
	18	13.7097
	19	11.3631
	20	2.04453
	21	1.34929

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 15) 	5 (15 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 15) 	6 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 13) 	1 (13 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 14) 	3 (14 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 13) 	2 (13 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 16) 	7 (16 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 16) 	8 (16 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 14) 	4 (14 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	24	24	12	24	0
	eid	type	time
	19	dup	0.956705	1.29088
	16	del	0.528392	6.96837
	16	crg	0.689251	8.46735
	16	crg	0.933094	10.7396
	11	crg	0.0559966	18.2259
	11	crl	0.0813294	20.269
	11	del	0.0838903	20.4755
	11	crl	0.230041	32.2628
	11	dup	0.23764	32.8756
	11	dup	0.237958	32.9013
	11	crg	0.25961	34.6475
	11	del	0.278746	36.1909
	11	dup	0.293375	37.3707
	11	crl	0.317063	39.2812
	11	crg	0.382697	44.5746
	11	crg	0.40688	46.5251
	11	crl	0.414743	47.1593
	11	dup	0.487307	53.0116
	11	del	0.491948	53.3859
	11	dup	0.552907	58.3023
	11	del	0.603049	62.3464
	11	dup	0.623269	63.9771
	11	del	0.665886	67.4142
	11	crg	0.673605	68.0368
	11	crg	0.675004	68.1496
	11	crl	0.675314	68.1746
	11	del	0.753536	74.4833
	11	crg	0.754221	74.5385
	11	crl	0.782575	76.8253
	11	crg	0.805898	78.7064
	11	dup	0.870494	83.9161
	11	del	0.873432	84.1531
	11	del	0.880101	84.6909
	11	crg	0.897831	86.1209
	11	crg	0.924894	88.3035
	11	dup	0.93773	89.3388
	11	del	0.993257	93.8171
	11	del	0.99821	94.2166
	5	crg	0.00249113	94.6456
	5	crg	0.011626	95.6895
	5	crl	0.0170087	96.3046
	5	dup	0.0242413	97.1311
	5	del	0.0598516	101.2
	5	del	0.064424	101.723
	5	crg	0.0649143	101.779
	5	crl	0.0898901	104.633
	5	crg	0.0928499	104.971
	5	crl	0.114759	107.475
	5	crl	0.124355	108.571
	5	crg	0.128832	109.083
	5	dup	0.142006	110.588
	5	crl	0.143064	110.709
	5	del	0.186469	115.669
	5	dup	0.204976	117.784
	5	dup	0.220062	119.508
	5	dup	0.232855	120.97
	5	del	0.241822	121.995
	5	dup	0.245998	122.472
	5	del	0.318042	130.705
	5	dup	0.373316	137.021
	5	del	0.380771	137.873
	5	crg	0.443464	145.037
	5	dup	0.466812	147.705
	5	del	0.474118	148.54
	5	dup	0.47603	148.759
	5	crg	0.48465	149.744
	5	dup	0.607679	163.803
	5	crg	0.613263	164.441
	5	crg	0.651078	168.762
	5	crl	0.655457	169.262
	5	del	0.658885	169.654
	5	dup	0.676468	171.663
	5	crg	0.682526	172.356
	5	crg	0.682843	172.392
	5	dup	0.703126	174.71
	5	dup	0.758465	181.034
	5	dup	0.809039	186.813
	5	del	0.81036	186.964
	5	dup	0.841483	190.52
	5	del	0.859275	192.553
	5	del	0.909137	198.251
	5	del	0.977919	206.111
	5	del	0.990545	207.554
	5	crg	0.99879	208.496

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	21	24	23	32	0
	eid	type	time
	19	dup	0.956705	1.29088
	16	del	0.528392	6.96837
	16	crg	0.689251	8.46735
	16	crg	0.933094	10.7396
	11	crg	0.0559966	18.2259
	11	crl	0.0813294	20.269
	11	del	0.0838903	20.4755
	11	crl	0.230041	32.2628
	11	dup	0.23764	32.8756
	11	dup	0.237958	32.9013
	11	crg	0.25961	34.6475
	11	del	0.278746	36.1909
	11	dup	0.293375	37.3707
	11	crl	0.317063	39.2812
	11	crg	0.382697	44.5746
	11	crg	0.40688	46.5251
	11	crl	0.414743	47.1593
	11	dup	0.487307	53.0116
	11	del	0.491948	53.3859
	11	dup	0.552907	58.3023
	11	del	0.603049	62.3464
	11	dup	0.623269	63.9771
	11	del	0.665886	67.4142
	11	crg	0.673605	68.0368
	11	crg	0.675004	68.1496
	11	crl	0.675314	68.1746
	11	del	0.753536	74.4833
	11	crg	0.754221	74.5385
	11	crl	0.782575	76.8253
	11	crg	0.805898	78.7064
	11	dup	0.870494	83.9161
	11	del	0.873432	84.1531
	11	del	0.880101	84.6909
	11	crg	0.897831	86.1209
	11	crg	0.924894	88.3035
	11	dup	0.93773	89.3388
	11	del	0.993257	93.8171
	11	del	0.99821	94.2166
	6	crg	0.00761609	95.2313
	6	del	0.00800963	95.2762
	6	dup	0.0117181	95.7
	6	crg	0.0313381	97.9421
	6	crg	0.0441149	99.4021
	6	del	0.0538922	100.519
	6	crg	0.0753274	102.969
	6	del	0.0767444	103.131
	6	crg	0.0949126	105.207
	6	crg	0.106075	106.482
	6	dup	0.112378	107.203
	6	dup	0.126815	108.853
	6	crl	0.161087	112.769
	6	dup	0.166193	113.352
	6	dup	0.179489	114.872
	6	crl	0.229447	120.581
	6	del	0.258882	123.944
	6	crl	0.301949	128.866
	6	dup	0.322502	131.214
	6	dup	0.322727	131.24
	6	crl	0.324091	131.396
	6	dup	0.397828	139.822
	6	crg	0.407509	140.929
	6	crl	0.413536	141.617
	6	crl	0.419567	142.306
	6	crg	0.432945	143.835
	6	del	0.434012	143.957
	6	crg	0.452257	146.042
	6	crg	0.466366	147.654
	6	crg	0.471613	148.254
	6	dup	0.474818	148.62
	6	dup	0.519591	153.737
	6	crg	0.522089	154.022
	6	crl	0.546185	156.775
	6	dup	0.576645	160.256
	6	crg	0.582359	160.909
	6	del	0.583669	161.059
	6	crl	0.604295	163.416
	6	crl	0.649153	168.542
	6	del	0.663674	170.201
	6	del	0.669132	170.825
	6	del	0.679607	172.022
	6	crg	0.680892	172.169
	6	crg	0.687543	172.929
	6	crg	0.68923	173.122
	6	dup	0.709441	175.431
	6	crg	0.736826	178.561
	6	crl	0.744888	179.482
	6	crg	0.775177	182.943
	6	crg	0.776862	183.136
	6	crg	0.786814	184.273
	6	del	0.792264	184.896
	6	crl	0.81665	187.683
	6	crl	0.830021	189.21
	6	crl	0.839176	190.257
	6	crl	0.904178	197.685
	6	crl	0.907509	198.065
	6	del	0.916224	199.061
	6	crl	0.926874	200.278
	6	del	0.957457	203.773
	6	crl	0.986835	207.13
	6	del	0.994252	207.978

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	21	23	21	19	0
	eid	type	time
	19	dup	0.956705	1.29088
	16	del	0.528392	6.96837
	16	crg	0.689251	8.46735
	16	crg	0.933094	10.7396
	12	dup	0.00436643	14.4897
	12	crl	0.0550428	23.5422
	12	del	0.0630903	24.9798
	12	crl	0.0790351	27.8281
	12	crg	0.0961585	30.8869
	12	del	0.0996249	31.5062
	12	crl	0.107605	32.9317
	12	crg	0.126646	36.3331
	12	crg	0.140669	38.8381
	12	crg	0.159457	42.1943
	12	crg	0.180489	45.9513
	12	crl	0.186168	46.9658
	12	crl	0.19068	47.7719
	12	del	0.197789	49.0417
	12	dup	0.234694	55.6342
	12	del	0.238039	56.2317
	12	crl	0.269936	61.9298
	12	del	0.274759	62.7914
	12	crl	0.290031	65.5195
	12	crl	0.300739	67.4322
	12	dup	0.308937	68.8967
	12	crl	0.319631	70.8069
	12	crg	0.355232	77.1665
	12	crl	0.361633	78.3101
	12	crg	0.366984	79.2659
