NODE TIMES:	nid	time
	1	172.872
	2	172.872
	3	172.872
	4	172.872
	5	172.872
	6	172.872
	7	172.872
	8	172.872
	9	172.872
	10	172.872
	11	0
	12	0
	13	108.838
	14	77.5782
	15	72.7731
	16	35.6781
	17	17.9565
	18	11.2631
	19	7.60315
	20	1.48818
	21	1.13521

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	11 (18 -> 17) 	9 (17 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	12 (18 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	11 (18 -> 17) 	10 (17 -> 16) 	8 (16 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 15) 	5 (15 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 14) 	4 (14 -> 13) 	2 (13 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 14) 	3 (14 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 14) 	4 (14 -> 13) 	1 (13 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 18) 	11 (18 -> 17) 	10 (17 -> 16) 	7 (16 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 15) 	6 (15 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	21	9	15	23	0
	eid	type	time
	16	crg	0.0797315	1.97574
	14	crg	0.00393092	8.2528
	14	crg	0.0183624	10.6379
	14	del	0.0295444	12.4859
	14	crl	0.0357204	13.5066
	14	crl	0.0501083	15.8845
	14	dup	0.0783217	20.5473
	14	del	0.120502	27.5183
	14	dup	0.123907	28.0812
	14	crl	0.123974	28.0922
	14	crl	0.134978	29.9108
	14	crg	0.151325	32.6124
	14	crg	0.167888	35.3497
	14	crg	0.183009	37.8488
	14	crg	0.19459	39.7628
	14	dup	0.200632	40.7613
	14	crg	0.215872	43.2801
	14	crg	0.21929	43.8449
	14	dup	0.252655	49.3592
	14	dup	0.253802	49.5487
	14	crl	0.266851	51.7052
	14	dup	0.268203	51.9288
	14	crl	0.339279	63.6753
	14	dup	0.350812	65.5815
	14	crg	0.390837	72.1964
	14	dup	0.408139	75.0558
	14	del	0.421051	77.1897
	14	dup	0.426472	78.0856
	14	dup	0.42766	78.2819
	14	del	0.443902	80.9663
	14	crg	0.447246	81.5189
	14	dup	0.464199	84.3208
	14	crg	0.466707	84.7352
	14	crl	0.489006	88.4206
	14	crg	0.496302	89.6263
	14	del	0.506595	91.3275
	14	crl	0.514139	92.5744
	14	crg	0.528815	94.9997
	14	crg	0.541112	97.032
	14	dup	0.557453	99.7327
	14	crl	0.605424	107.661
	14	crg	0.605478	107.67
	14	del	0.626377	111.124
	14	crl	0.641726	113.661
	14	crg	0.643034	113.877
	14	dup	0.643364	113.931
	14	del	0.712168	125.302
	14	crl	0.73576	129.201
	14	crg	0.787803	137.802
	14	crg	0.790048	138.173
	14	crg	0.80216	140.175
	14	crl	0.806678	140.922
	14	del	0.815797	142.429
	14	dup	0.818443	142.866
	14	dup	0.83438	145.5
	14	crg	0.834776	145.566
	14	del	0.853177	148.607
	14	dup	0.856489	149.154
	14	crg	0.85827	149.448
	14	crl	0.880001	153.04
	14	dup	0.880417	153.109
	14	crl	0.883751	153.66
	14	crl	0.885306	153.917
	14	dup	0.950123	164.629
	14	dup	0.968745	167.707
	14	dup	0.974418	168.644
	14	dup	0.977848	169.211
	14	crg	0.985428	170.464

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	11	15	27	17	0
	eid	type	time
	15	crg	0.477954	6.16015
	15	crg	0.612699	7.47728
	15	crg	0.691135	8.24398
	15	crg	0.78012	9.1138
	11	del	0.02515	11.4315
	11	crl	0.129514	12.13
	11	del	0.340289	13.5408
	11	dup	0.801832	16.6301
	9	dup	0.00876704	19.3147
