NODE TIMES:	nid	time
	1	195.74
	2	195.74
	3	195.74
	4	195.74
	5	195.74
	6	195.74
	7	195.74
	8	195.74
	9	195.74
	10	195.74
	11	0
	12	0
	13	158.674
	14	138.283
	15	36.9104
	16	27.9525
	17	25.028
	18	19.1392
	19	6.24483
	20	4.83799
	21	2.00781

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	6 (15 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 19) 	14 (19 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 14) 	4 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 16) 	7 (16 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	5 (15 -> 13) 	1 (13 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 16) 	8 (16 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 14) 	3 (14 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 19) 	13 (19 -> 15) 	5 (15 -> 13) 	2 (13 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	19	16	18	16	0
	eid	type	time
	18	crg	0.177176	2.75851
	18	crl	0.469111	3.99544
	18	dup	0.972698	6.12915
	13	dup	0.0273355	7.08309
	13	crg	0.0950655	9.16007
	13	crl	0.191492	12.1171
	13	crg	0.233092	13.3927
	13	dup	0.297652	15.3725
	13	del	0.371294	17.6308
	13	dup	0.461423	20.3946
	13	crl	0.839678	31.994
	13	crg	0.84796	32.248
	13	dup	0.895103	33.6937
	6	del	0.0314388	41.9038
	6	crl	0.0351443	42.4923
	6	crg	0.0699868	48.0263
	6	crg	0.0844352	50.3212
	6	crg	0.0878893	50.8698
	6	crg	0.136879	58.6507
	6	crg	0.172416	64.295
	6	dup	0.195666	67.9878
	6	crl	0.232954	73.9102
	6	dup	0.240959	75.1817
	6	del	0.249912	76.6037
	6	del	0.262828	78.6552
	6	crl	0.265024	79.0039
	6	dup	0.268124	79.4963
	6	dup	0.278289	81.1108
	6	del	0.318271	87.4611
	6	crl	0.365203	94.9153
	6	dup	0.368127	95.3797
	6	crl	0.423867	104.233
	6	del	0.429729	105.164
	6	dup	0.462477	110.365
	6	crg	0.473159	112.062
	6	dup	0.484401	113.847
	6	dup	0.49565	115.634
	6	crl	0.496082	115.703
	6	crl	0.532545	121.494
	6	crg	0.555049	125.068
	6	del	0.562634	126.273
	6	del	0.610665	133.902
	6	del	0.63647	138
	6	crg	0.639235	138.44
	6	dup	0.649567	140.081
	6	crl	0.656335	141.156
	6	crl	0.665689	142.641
	6	del	0.682441	145.302
	6	crg	0.6863	145.915
	6	del	0.692992	146.978
	6	crl	0.731367	153.073
	6	dup	0.736852	153.944
	6	del	0.750925	156.179
	6	del	0.770507	159.289
	6	dup	0.776601	160.257
	6	crg	0.778988	160.636
	6	crg	0.796248	163.378
	6	crl	0.79673	163.454
