NODE TIMES:	nid	time
	1	62.3792
	2	62.3792
	3	62.3792
	4	62.3792
	5	62.3792
	6	62.3792
	7	62.3792
	8	62.3792
	9	62.3792
	10	62.3792
	11	0
	12	0
	13	54.0007
	14	51.7095
	15	41.8456
	16	14.6957
	17	9.06542
	18	5.62493
	19	4.92998
	20	2.48018
	21	1.28043

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	8 (16 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 15) 	5 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 16) 	7 (16 -> 15) 	6 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 14) 	4 (14 -> 13) 	2 (13 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 14) 	3 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	9 (17 -> 14) 	4 (14 -> 13) 	1 (13 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 17) 	10 (17 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	8	9	5	3	1
	eid	type	time
	11	dup	0.0652403	6.21672
	11	del	0.259096	7.97514
	11	dup	0.609749	11.1559
	11	crg	0.755589	12.4787
	11	dup	0.978952	14.5048
	8	del	0.0604208	17.5768
	8	wgd	0.134578	21.1129
	8	del	0.182957	23.4198
	8	dup	0.185738	23.5524
	8	del	0.266979	27.4262
	8	crg	0.318486	29.8823
	8	del	0.320431	29.975
	8	crl	0.381328	32.8788
	8	dup	0.413487	34.4122
	8	crl	0.522963	39.6324
	8	crl	0.555167	41.168
	8	dup	0.572686	42.0034
	8	crl	0.593738	43.0073
	8	dup	0.645598	45.4801
	8	del	0.656639	46.0066
	8	crg	0.684506	47.3354
	8	del	0.740291	49.9954
	8	dup	0.845688	55.0211
	8	crl	0.922025	58.6611
	8	del	0.936938	59.3722
	8	del	0.981765	61.5097

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	6	7	10	7	0
	eid	type	time
	11	dup	0.0652403	6.21672
	11	del	0.259096	7.97514
	11	dup	0.609749	11.1559
	11	crg	0.755589	12.4787
	11	dup	0.978952	14.5048
	7	del	0.0497848	16.0474
	7	del	0.0552222	16.195
	7	crl	0.237183	21.1352
	7	crg	0.241712	21.2582
	7	crl	0.294526	22.6921
	7	crg	0.389243	25.2636
	7	crl	0.486024	27.8912
	7	crl	0.562016	29.9544
	7	crg	0.572235	30.2319
	7	dup	0.602133	31.0436
	7	del	0.65779	32.5547
	7	crl	0.660255	32.6216
	7	crg	0.850924	37.7982
	7	del	0.956275	40.6585
	7	crg	0.976992	41.221
	5	del	0.0459917	42.79
	5	crg	0.117011	44.2483
	5	crl	0.247102	46.9195
	5	crl	0.26626	47.3129
	5	dup	0.34549	48.9398
	5	crl	0.484472	51.7936
	5	crl	0.724586	56.724
	5	crl	0.784342	57.951
	5	del	0.938996	61.1266
	5	dup	0.987702	62.1267

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	5	8	9	7	1
	eid	type	time
	12	crl	0.0018104	5.72768
	12	crg	0.0137454	6.40505
	12	crg	0.124629	12.6982
