NODE TIMES:	nid	time
	1	144.192
	2	144.192
	3	144.192
	4	144.192
	5	144.192
	6	144.192
	7	144.192
	8	144.192
	9	144.192
	10	144.192
	11	0
	12	0
	13	69.5507
	14	57.9544
	15	48.78
	16	20.9741
	17	16.0223
	18	8.2505
	19	5.04225
	20	0.854093
	21	0.584987

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 18) 	12 (18 -> 13) 	1 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 17) 	9 (17 -> 15) 	6 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 17) 	9 (17 -> 15) 	5 (15 -> 14) 	4 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 18) 	11 (18 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 17) 	9 (17 -> 15) 	5 (15 -> 14) 	3 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	17 (21 -> 18) 	12 (18 -> 13) 	2 (13 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 17) 	10 (17 -> 16) 	7 (16 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 17) 	10 (17 -> 16) 	8 (16 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	15	20	12	19	0
	eid	type	time
	17	crl	0.182067	1.98063
	17	crg	0.343575	3.21867
	17	crg	0.427249	3.86007
	17	del	0.480938	4.27162
	17	dup	0.522936	4.59356
	17	crg	0.873107	7.2778
	17	crg	0.928413	7.70175
	12	crg	0.0376838	10.5605
	12	del	0.0428281	10.8759
	12	crg	0.117245	15.4377
	12	crl	0.125563	15.9475
	12	crl	0.157017	17.8757
	12	crg	0.173957	18.9141
	12	crg	0.190748	19.9434
	12	crg	0.207729	20.9843
	12	crl	0.251455	23.6647
	12	crg	0.260808	24.2381
	12	crg	0.32973	28.463
	12	crg	0.374236	31.1912
	12	dup	0.431523	34.703
	12	crl	0.475741	37.4135
	12	dup	0.534764	41.0316
	12	del	0.556143	42.3422
	12	del	0.616897	46.0664
	12	dup	0.684019	50.181
	12	del	0.690854	50.6
	12	dup	0.743493	53.8268
	12	dup	0.768769	55.3762
	12	del	0.790291	56.6955
	12	crl	0.816214	58.2846
	12	del	0.849634	60.3333
	12	crg	0.962787	67.2696
	12	del	0.969827	67.7011
	12	crg	0.993743	69.1672
	1	dup	0.0261641	71.5036
	1	dup	0.050983	73.3562
	1	dup	0.0514191	73.3887
	1	del	0.0548115	73.6419
	1	dup	0.062787	74.2372
	1	del	0.0653677	74.4298
	1	crg	0.0740542	75.0782
	1	crl	0.0905509	76.3095
	1	del	0.183833	83.2723
	1	del	0.186008	83.4346
	1	crg	0.231553	86.8341
	1	crg	0.286283	90.9192
	1	del	0.433228	101.887
	1	crg	0.444759	102.748
	1	del	0.492866	106.339
	1	dup	0.511946	107.763
	1	crl	0.514227	107.933
	1	dup	0.520657	108.413
	1	crl	0.638873	117.237
	1	crg	0.670865	119.625
	1	del	0.696071	121.506
	1	del	0.722186	123.456
	1	del	0.75511	125.913
	1	crl	0.757162	126.066
	1	del	0.817744	130.588
	1	crl	0.858676	133.643
	1	dup	0.874513	134.825
	1	dup	0.891045	136.059
	1	del	0.911573	137.592
	1	dup	0.927688	138.794
	1	crl	0.941023	139.79
	1	del	0.994293	143.766

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	22	17	10	11	0
	eid	type	time
	15	dup	0.0328989	0.991879
	14	del	0.0932322	6.06594
	14	del	0.112411	6.27653
	14	crl	0.170644	6.91593
	14	crl	0.409906	9.54302
	14	dup	0.453486	10.0215
	14	dup	0.665769	12.3524
	14	crg	0.868286	14.576
	9	del	0.0934677	19.0841
	9	crg	0.261747	24.5965
	9	dup	0.273041	24.9665
	9	dup	0.372931	28.2387
	9	del	0.395041	28.9629
	9	crl	0.482405	31.8248
	9	del	0.495508	32.254
	9	del	0.592437	35.4292
	9	del	0.715255	39.4524
	9	del	0.721242	39.6486
	9	crg	0.74556	40.4452
	9	del	0.75361	40.7089
	9	crl	0.802888	42.3231
	9	crl	0.982112	48.1941
	6	dup	0.0434926	52.9298
	6	crg	0.0473014	53.2932
	6	dup	0.0626049	54.7533
	6	dup	0.106444	58.936
	6	dup	0.11466	59.7199
	6	del	0.146813	62.7878
	6	crg	0.159223	63.9718
	6	dup	0.170185	65.0177
	6	dup	0.195007	67.3861
	6	dup	0.255994	73.2049
	6	crg	0.256466	73.25
	6	del	0.29631	77.0515
	6	crg	0.30992	78.3501
	6	crl	0.312429	78.5894
	6	crl	0.394279	86.399
	6	dup	0.400931	87.0337
	6	del	0.40294	87.2253
	6	del	0.414262	88.3056
	6	crl	0.419984	88.8515
	6	crg	0.449534	91.6709
	6	crl	0.46379	93.0311
	6	dup	0.473869	93.9928
	6	dup	0.517442	98.1502
	6	dup	0.592292	105.292
	6	crl	0.669771	112.684
	6	crg	0.682053	113.856
	6	dup	0.707105	116.246
	6	del	0.732206	118.641
	6	dup	0.742786	119.651
	6	crg	0.800276	125.136
	6	dup	0.861438	130.972
	6	del	0.863189	131.139
	6	dup	0.863441	131.163
	6	dup	0.902552	134.894
	6	dup	0.945315	138.974
	6	del	0.955279	139.925
	6	crg	0.984921	142.753
	6	del	0.995836	143.795

MUTATIONS   (3)  dup, deln, crl, crg, wgd:	18	22	15	12	1
	eid	type	time
	15	dup	0.0328989	0.991879
	14	del	0.0932322	6.06594
	14	del	0.112411	6.27653
	14	crl	0.170644	6.91593
	14	crl	0.409906	9.54302
	14	dup	0.453486	10.0215
	14	dup	0.665769	12.3524
	14	crg	0.868286	14.576
	9	del	0.0934677	19.0841
	9	crg	0.261747	24.5965
	9	dup	0.273041	24.9665
	9	dup	0.372931	28.2387
	9	del	0.395041	28.9629
	9	crl	0.482405	31.8248
	9	del	0.495508	32.254
	9	del	0.592437	35.4292
	9	del	0.715255	39.4524
	9	del	0.721242	39.6486
	9	crg	0.74556	40.4452
	9	del	0.75361	40.7089
	9	crl	0.802888	42.3231
	9	crl	0.982112	48.1941
	5	dup	0.0888791	49.5954
