NODE TIMES:	nid	time
	1	159.429
	2	159.429
	3	159.429
	4	159.429
	5	159.429
	6	159.429
	7	159.429
	8	159.429
	9	159.429
	10	159.429
	11	0
	12	0
	13	117.541
	14	73.8799
	15	39.2202
	16	36.6866
	17	22.4419
	18	3.64012
	19	2.30023
	20	0.612309
	21	0.0688879

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 16) 	7 (16 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 17) 	9 (17 -> 15) 	5 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 13) 	2 (13 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 17) 	9 (17 -> 15) 	6 (15 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	14 (19 -> 16) 	8 (16 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 18) 	12 (18 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 19) 	13 (19 -> 13) 	1 (13 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 17) 	10 (17 -> 14) 	4 (14 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 18) 	11 (18 -> 17) 	10 (17 -> 14) 	3 (14 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	12	16	13	15	0
	eid	type	time
	17	del	0.106286	0.126646
	14	crl	0.26217	11.3153
	14	dup	0.273995	11.7219
	14	crg	0.276908	11.8221
	14	crg	0.33598	13.8533
	14	crg	0.383884	15.5006
	14	del	0.505541	19.6839
	14	dup	0.535117	20.701
	14	crl	0.554403	21.3641
	14	del	0.602302	23.0112
	14	crg	0.607772	23.1993
	14	crl	0.811158	30.193
	14	crg	0.829081	30.8093
	7	dup	0.0372498	41.2587
	7	dup	0.0603715	44.0967
	7	crl	0.0609111	44.163
	7	dup	0.0646837	44.626
	7	crg	0.0867817	47.3384
	7	dup	0.104633	49.5295
	7	dup	0.154949	55.7054
	7	crl	0.191624	60.207
	7	del	0.22681	64.5258
	7	del	0.285526	71.7327
	7	dup	0.285684	71.7522
	7	crl	0.299431	73.4396
	7	del	0.303521	73.9416
	7	crl	0.315809	75.4499
	7	crl	0.328644	77.0253
	7	crg	0.408844	86.8692
	7	crl	0.444738	91.275
	7	crg	0.449972	91.9173
	7	crg	0.470648	94.4552
	7	del	0.475533	95.0548
	7	crl	0.527183	101.394
	7	dup	0.544023	103.461
	7	crg	0.554394	104.734
	7	dup	0.561989	105.667
	7	crg	0.635596	114.701
	7	del	0.642033	115.491
	7	del	0.648191	116.247
	7	crl	0.68346	120.576
	7	crg	0.711775	124.052
	7	dup	0.718568	124.886
	7	del	0.746226	128.28
	7	crl	0.798071	134.644
	7	crg	0.802387	135.174
	7	del	0.821518	137.522
	7	crl	0.840678	139.874
	7	del	0.855299	141.668
	7	del	0.891321	146.09
	7	dup	0.894205	146.444
	7	crg	0.904007	147.647
	7	del	0.907064	148.022
	7	del	0.943151	152.451
	7	crg	0.947613	152.999
	7	del	0.999582	159.378

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	20	9	12	21	0
	eid	type	time
	18	crl	0.880571	3.21361
	11	crl	0.0247642	4.10573
	11	dup	0.418084	11.5008
	11	crl	0.480993	12.6836
	11	dup	0.578315	14.5134
	11	dup	0.66783	16.1965
	11	dup	0.819962	19.0568
	9	dup	0.0783559	23.7566
	9	crg	0.330304	27.9838
	9	crl	0.744933	34.9406
	9	crl	0.749644	35.0197
	9	crg	0.893467	37.4328
	9	dup	0.901621	37.5696
	5	crg	0.0241569	42.1241
	5	crg	0.0304639	42.8823
	5	dup	0.0397904	44.0034
	5	dup	0.064004	46.9141
	5	del	0.0806086	48.9101
	5	dup	0.0854912	49.4971
