NODE TIMES:	nid	time
	1	385.758
	2	385.758
	3	385.758
	4	385.758
	5	385.758
	6	385.758
	7	385.758
	8	385.758
	9	385.758
	10	385.758
	11	0
	12	0
	13	306.507
	14	221.965
	15	99.3085
	16	96.4227
	17	18.5983
	18	15.1084
	19	4.0793
	20	2.06408
	21	0.737106

ANCESTRY    (1)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 13) 	1 (13 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 14) 	3 (14 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 14) 	4 (14 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	11 (18 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 15) 	5 (15 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	13 (19 -> 15) 	6 (15 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	8 (16 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	17 (21 -> 20) 	16 (20 -> 19) 	14 (19 -> 18) 	12 (18 -> 16) 	7 (16 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	17 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 13) 	2 (13 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	36	34	41	57	0
	eid	type	time
	15	crg	0.0446561	2.80243
	15	dup	0.203465	5.4282
	15	dup	0.555401	11.2472
	15	dup	0.673754	13.204
	15	crg	0.713377	13.8592
	15	crg	0.760506	14.6384
	15	crl	0.941775	17.6356
	10	del	0.00121048	18.9468
	10	crl	0.00921439	21.2512
	10	del	0.0200771	24.3786
	10	dup	0.0250696	25.816
	10	dup	0.0274733	26.5081
	10	dup	0.0692844	38.5458
	10	crl	0.0803211	41.7234
	10	del	0.0814343	42.0439
	10	del	0.0874323	43.7708
	10	crl	0.0898688	44.4722
	10	dup	0.102388	48.0768
	10	dup	0.107786	49.6309
	10	crl	0.111257	50.63
	10	crg	0.112431	50.9682
	10	dup	0.120404	53.2635
	10	crg	0.137449	58.1711
	10	crl	0.141801	59.4238
	10	dup	0.144271	60.135
	10	crg	0.147259	60.9953
	10	crg	0.167872	66.9301
	10	crg	0.175229	69.0481
	10	dup	0.185684	72.0583
	10	dup	0.192907	74.1379
	10	crg	0.211035	79.3568
	10	crg	0.219267	81.7269
	10	crl	0.225884	83.6322
	10	crg	0.226452	83.7956
	10	del	0.22876	84.4602
	10	dup	0.231155	85.1497
	10	crg	0.255457	92.1465
	10	crl	0.255584	92.1829
	10	crg	0.25623	92.369
	10	crg	0.276275	98.14
	10	crl	0.282089	99.8141
	10	crl	0.287606	101.402
	10	crg	0.290019	102.097
	10	dup	0.29658	103.986
	10	crg	0.308265	107.35
	10	crg	0.312539	108.581
	10	crg	0.320468	110.864
	10	crl	0.324357	111.983
	10	crl	0.32831	113.122
	10	del	0.333038	114.483
	10	del	0.355037	120.816
	10	crg	0.358085	121.694
	10	del	0.361075	122.555
	10	crl	0.362119	122.855
	10	crl	0.36249	122.962
	10	crl	0.372499	125.844
	10	del	0.373815	126.223
	10	crg	0.377393	127.253
	10	crg	0.390756	131.1
	10	dup	0.393038	131.757
