NODE TIMES:	nid	time
	1	92.9091
	2	92.9091
	3	92.9091
	4	92.9091
	5	92.9091
	6	92.9091
	7	92.9091
	8	92.9091
	9	92.9091
	10	92.9091
	11	0
	12	0
	13	78.4204
	14	50.226
	15	27.3009
	16	24.2875
	17	18.6306
	18	17.4637
	19	3.75632
	20	2.05704
	21	0.723503

ANCESTRY    (1)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 16) 	7 (16 -> 1) 
ANCESTRY    (2)	19 (12 -> 21) 	17 (21 -> 19) 	14 (19 -> 15) 	6 (15 -> 2) 
ANCESTRY    (3)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 13) 	2 (13 -> 3) 
ANCESTRY    (4)	19 (12 -> 21) 	17 (21 -> 19) 	13 (19 -> 4) 
ANCESTRY    (5)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 14) 	4 (14 -> 5) 
ANCESTRY    (6)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	9 (17 -> 14) 	3 (14 -> 6) 
ANCESTRY    (7)	19 (12 -> 21) 	17 (21 -> 19) 	14 (19 -> 15) 	5 (15 -> 7) 
ANCESTRY    (8)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	12 (18 -> 16) 	8 (16 -> 8) 
ANCESTRY    (9)	19 (12 -> 21) 	18 (21 -> 20) 	15 (20 -> 17) 	10 (17 -> 9) 
ANCESTRY    (10)	19 (12 -> 21) 	18 (21 -> 20) 	16 (20 -> 18) 	11 (18 -> 13) 	1 (13 -> 10) 
ANCESTRY    (11)	20 (12 -> 11) 

MUTATIONS   (1)  dup, deln, crl, crg, wgd:	9	9	7	6	0
	eid	type	time
	19	crl	0.240337	0.173885
	16	del	0.358374	7.57838
	16	crg	0.47496	9.37459
	16	crg	0.645353	11.9998
	16	crl	0.677648	12.4973
	16	del	0.913577	16.1322
	12	dup	0.0148396	17.565
	12	crl	0.209986	18.8966
	12	crg	0.826104	23.1008
	7	del	0.124287	32.8163
	7	crg	0.165221	35.6252
	7	dup	0.262479	42.2992
	7	del	0.268069	42.6828
	7	crg	0.284792	43.8303
	7	crl	0.302532	45.0477
	7	dup	0.316412	46.0002
	7	dup	0.341962	47.7535
	7	del	0.35817	48.8657
	7	crl	0.453364	55.3981
	7	del	0.516174	59.7082
	7	crl	0.574365	63.7014
	7	dup	0.588825	64.6936
	7	dup	0.602352	65.6219
	7	del	0.613333	66.3754
	7	dup	0.665151	69.9312
	7	dup	0.787709	78.3414
	7	crl	0.792433	78.6656
	7	del	0.81401	80.1462
	7	crg	0.827776	81.0908
	7	del	0.902932	86.2481
	7	dup	0.920252	87.4367

MUTATIONS   (2)  dup, deln, crl, crg, wgd:	9	6	16	12	0
	eid	type	time
	19	crl	0.240337	0.173885
	17	crg	0.224911	1.40562
	17	crl	0.981572	3.70043
	14	del	0.0846598	5.7496
	14	crg	0.159612	7.51431
	14	del	0.190379	8.23872
	14	crl	0.233297	9.2492
	14	dup	0.263422	9.95847
	14	dup	0.26893	10.0882
	14	del	0.375292	12.5924
	14	dup	0.376529	12.6215
	14	crg	0.496809	15.4535
	14	dup	0.610844	18.1384
	14	crl	0.611702	18.1586
	14	dup	0.630948	18.6117
	14	del	0.76752	21.8272
	14	crg	0.788439	22.3198
	14	del	0.81317	22.902
	14	crl	0.814324	22.9292
	14	crl	0.856712	23.9272
	6	dup	0.00534591	27.6516
	6	crg	0.00915537	27.9015
	6	dup	0.0757858	32.2731
